name,candidate,office,office_full,party,party_full,state,district,district_number,election_districts,election_years,cycles,candidate_status,incumbent_challenge,incumbent_challenge_full,load_date,first_file_date,last_file_date,last_f2_date,candidate_id,active_through
MACHAT,Machat,H,House,DEM,DEMOCRATIC PARTY,FL,26,26,{26},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,7/6/17,7/6/17,7/6/17,H8FL26021,2018
KANEW,Kanew,H,House,DEM,DEMOCRATIC PARTY,TN,7,7,{07},{2018},"{2018,2020}",P,O,Open seat,3/27/19 16:02,5/31/17,5/31/17,5/31/17,H8TN07068,2018
CHIRINO,Chirino,H,House,REP,REPUBLICAN PARTY,FL,27,27,{27},{2018},"{2018,2020}",P,O,Open seat,3/27/19 16:02,1/3/18,1/5/18,1/5/18,H8FL27177,2018
KERRIGAN,Kerrigan,H,House,DEM,DEMOCRATIC PARTY,MA,3,3,{03},{2018},"{2018,2020}",P,O,Open seat,3/27/19 16:02,10/16/17,10/16/17,10/16/17,H8MA03155,2018
LEWIS,Lewis,H,House,REP,REPUBLICAN PARTY,MN,2,2,"{02,02}","{2016,2018}","{2016,2018,2020}",P,I,Incumbent,3/27/19 16:02,10/8/15,7/26/18,7/26/18,H6MN02149,2018
HAYWOOD,Haywood,H,House,REP,REPUBLICAN PARTY,VA,6,6,{06},{2018},"{2018,2020}",P,O,Open seat,3/27/19 16:02,11/29/17,11/29/17,11/29/17,H8VA06112,2018
NEWHOUSE,Newhouse,H,House,REP,REPUBLICAN PARTY,WA,4,4,"{04,04,04,04}","{2014,2016,2018,2020}","{2014,2016,2018,2020}",C,I,Incumbent,4/3/19 21:06,3/10/14,12/17/18,12/17/18,H4WA04104,2020
GALBRAITH,Galbraith,H,House,DEM,DEMOCRATIC PARTY,MD,1,1,{01},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,5/5/17,5/5/17,5/5/17,H8MD01177,2018
BARTON,Barton,H,House,REP,REPUBLICAN PARTY,TX,6,6,"{06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06}","{1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018}","{1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",P,I,Incumbent,3/27/19 16:02,12/12/83,7/12/17,7/12/17,H4TX06117,2018
BAAKE,Baake,H,House,DEM,DEMOCRATIC PARTY,NM,2,2,{02},{2018},{2018},C,O,Open seat,1/9/18 21:09,6/29/17,7/31/17,6/29/17,H8NM02131,2018
HOWZE,Howze,H,House,REP,REPUBLICAN PARTY,CA,10,10,"{09,10}","{2018,2020}","{2018,2020}",C,C,Challenger,3/27/19 21:06,7/12/18,11/15/18,11/15/18,H8CA10209,2020
RYAN,Ryan,H,House,REP,REPUBLICAN PARTY,WI,1,1,"{01,01,01,01,01,01,01,01,01,01,01}","{1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018}","{1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",P,I,Incumbent,3/27/19 16:02,10/28/97,12/5/16,12/5/16,H8WI01024,2018
THERRIEN,Therrien,H,House,REP,REPUBLICAN PARTY,MD,4,4,"{04,04}","{2016,2018}","{2016,2018,2020}",P,C,Challenger,3/27/19 16:02,5/3/16,10/3/17,10/3/17,H6MD04282,2018
MALIK,Malik,H,House,DEM,DEMOCRATIC PARTY,TX,2,2,{02},{2018},"{2018,2020}",P,O,Open seat,3/27/19 16:02,11/27/17,11/27/17,11/27/17,H8TX02158,2018
MOSER,Moser,H,House,DEM,DEMOCRATIC PARTY,TX,7,7,{07},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,4/27/17,4/27/17,4/27/17,H8TX07116,2018
AGUILERA,Aguilera,H,House,REP,REPUBLICAN PARTY,CA,19,19,{19},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,7/24/18,7/24/18,7/24/18,H8CA19051,2018
ROSS,Ross,H,House,DEM,DEMOCRATIC PARTY,AZ,6,6,{06},{2018},{2018},C,C,Challenger,10/18/17 21:02,7/31/17,7/31/17,7/31/17,H8AZ06095,2018
FRANKLIN,Franklin,H,House,DEM,DEMOCRATIC PARTY,MI,6,6,{06},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,10/12/17,10/12/17,10/12/17,H8MI06163,2018
MANN,Mann,H,House,DEM,DEMOCRATIC PARTY,TX,31,31,{31},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,4/24/17,4/24/17,4/24/17,H8TX31033,2018
BUTTERFIELD,Butterfield,H,House,DEM,DEMOCRATIC PARTY,NC,1,1,"{01,01,01,01,01,01,01,01,01}","{2004,2006,2008,2010,2012,2014,2016,2018,2020}","{2004,2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,3/27/19 21:06,7/20/04,1/10/19,1/10/19,H4NC01046,2020
LIVENGOOD,Livengood,H,House,REP,REPUBLICAN PARTY,CA,9,9,{09},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,11/15/17,11/15/17,11/15/17,H8CA09144,2018
TAYLOR,Taylor,H,House,DEM,DEMOCRATIC PARTY,UT,4,4,{04},{2018},{2018},C,C,Challenger,9/27/17 20:56,5/15/17,5/15/17,5/15/17,H8UT04038,2018
ALLEN,Allen,H,House,REP,REPUBLICAN PARTY,GA,12,12,"{12,12,12,12,12}","{2012,2014,2016,2018,2020}","{2012,2014,2016,2018,2020}",C,I,Incumbent,3/29/19 21:06,10/12/11,1/25/19,1/25/19,H2GA12121,2020
BLACK,Black,H,House,DEM,DEMOCRATIC PARTY,MD,4,4,{04},{2018},{2018},C,C,Challenger,9/12/17 20:59,5/31/17,5/31/17,5/31/17,H8MD04213,2018
BUTLER,Butler,H,House,DEM,DEMOCRATIC PARTY,TX,7,7,{07},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,3/15/17,8/1/17,8/1/17,H8TX07090,2018
PORTER,Porter,H,House,DEM,DEMOCRATIC PARTY,OK,5,5,{05},{2018},{2018},C,C,Challenger,10/17/17 22:53,6/19/17,6/19/17,6/19/17,H8OK05091,2018
WEBER,Weber,H,House,DEM,DEMOCRATIC PARTY,IL,14,14,{14},{2018},{2018},C,C,Challenger,11/21/17 21:00,6/26/17,11/21/17,11/21/17,H8IL14158,2018
THOMAS,Thomas,H,House,DEM,DEMOCRATIC PARTY,LA,3,3,{03},{2018},"{2018,2020}",N,C,Challenger,4/17/18 21:13,3/22/18,4/17/18,4/17/18,H8LA03086,2018
WARDLAW,Wardlaw,H,House,REP,REPUBLICAN PARTY,TX,21,21,{21},{2018},"{2018,2020}",P,O,Open seat,3/27/19 16:02,12/19/17,12/19/17,12/19/17,H8TX21349,2018
HOEBER,Hoeber,H,House,REP,REPUBLICAN PARTY,MD,6,6,"{06,06}","{2016,2018}","{2016,2018,2020}",P,O,Open seat,3/27/19 16:02,7/29/15,9/19/18,9/19/18,H6MD06212,2018
DELAURO,Delauro,H,House,DEM,DEMOCRATIC PARTY,CT,3,3,"{03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03}","{1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}","{1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2/15/19 22:03,10/30/89,12/13/18,12/13/18,H0CT03072,2020
BISHOP,Bishop,H,House,REP,REPUBLICAN PARTY,UT,1,1,"{01,01,01,01,01,01,01,01,01,01}","{2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}","{2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",N,I,Incumbent,1/28/19 21:05,3/5/02,4/6/17,4/6/17,H2UT01094,2020
GIBSON,Gibson,H,House,DEM,DEMOCRATIC PARTY,TX,22,22,"{22,22,22}","{2014,2016,2018}","{2014,2016,2018,2020}",P,C,Challenger,3/27/19 16:02,2/20/14,9/15/17,9/15/17,H4TX22163,2018
HARRIS,Harris,H,House,REP,REPUBLICAN PARTY,MD,1,1,"{01,01,01,01,01,01,01}","{2008,2010,2012,2014,2016,2018,2020}","{2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2/25/19 21:15,6/19/07,12/10/18,12/10/18,H8MD01094,2020
DAS,Das,H,House,DEM,DEMOCRATIC PARTY,WA,8,8,{08},{2018},{2018},C,O,Open seat,1/9/18 21:09,7/4/17,7/4/17,7/4/17,H8WA08155,2018
CHERFILUS-MCCORMICK,Cherfilus-Mccormick,H,House,DEM,DEMOCRATIC PARTY,FL,20,20,{20},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,5/23/18,5/23/18,5/23/18,H8FL20032,2018
JOHNSON,Johnson,H,House,DEM,DEMOCRATIC PARTY,TX,22,22,{22},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,1/4/18,1/4/18,1/4/18,H8TX22271,2018
FLORES,Flores,H,House,DEM,DEMOCRATIC PARTY,IL,4,4,{04},{2018},"{2018,2020}",P,O,Open seat,3/27/19 16:02,12/1/17,12/1/17,12/1/17,H8IL04159,2018
BROWN,Brown,H,House,REP,REPUBLICAN PARTY,NJ,7,7,{07},{2018},{2018},C,C,Challenger,7/23/18 21:09,8/29/17,8/29/17,8/29/17,H8NJ07207,2018
CLYBURN,Clyburn,H,House,DEM,DEMOCRATIC PARTY,SC,6,6,"{06,06,06,06,06,06,06,06,06,06,06,06,06,06,06}","{1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}","{1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,3/26/19 21:06,10/31/91,2/19/19,2/19/19,H2SC02042,2020
KEIRSTEAD,Keirstead,H,House,DEM,DEMOCRATIC PARTY,CA,48,48,"{48,48}","{2018,2020}","{2018,2020}",C,C,Challenger,2/13/19 21:28,6/15/17,9/24/18,9/24/18,H8CA48076,2020
PINGREE,Pingree,H,House,DEM,DEMOCRATIC PARTY,ME,1,1,"{01,01,01,01,01,01,01}","{2008,2010,2012,2014,2016,2018,2020}","{2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,3/27/19 21:06,3/30/07,12/5/18,12/5/18,H8ME01120,2020
WILLIAMSON,Williamson,H,House,DEM,DEMOCRATIC PARTY,AZ,6,6,"{06,06,06,06}","{2012,2014,2016,2018}","{2012,2014,2016,2018}",N,C,Challenger,8/1/17 20:57,8/8/11,6/14/17,6/14/17,H2AZ05132,2018
MARTINEZ,Martinez,H,House,DEM,DEMOCRATIC PARTY,NM,2,2,{02},{2018},{2018},C,O,Open seat,1/9/18 21:09,7/14/17,7/14/17,7/14/17,H8NM02149,2018
THOMAS,Thomas,H,House,DEM,DEMOCRATIC PARTY,NY,2,2,{02},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,2/8/18,2/8/18,2/8/18,H8NY02112,2018
HICKS,Hicks,H,House,DEM,DEMOCRATIC PARTY,NY,12,12,{12},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,12/28/17,12/28/17,12/28/17,H8NY12137,2018
GOLDSTEIN,Goldstein,H,House,REP,REPUBLICAN PARTY,OH,11,11,"{11,11}","{2016,2018}","{2016,2018,2020}",N,C,Challenger,2/20/18 21:22,3/23/16,3/23/16,3/23/16,H6OH11160,2018
ARAUJO,Araujo,H,House,DEM,DEMOCRATIC PARTY,AZ,9,9,{09},{2018},"{2018,2020}",N,O,Open seat,4/25/18 21:12,4/13/18,4/13/18,4/13/18,H8AZ09065,2018
GARCIA,Garcia,H,House,DEM,DEMOCRATIC PARTY,TX,29,29,"{29,29}","{2016,2018}","{2016,2018}",N,O,Open seat,4/3/18 21:07,11/17/15,11/17/15,11/17/15,H6TX29056,2018
SRAN,Sran,H,House,DEM,DEMOCRATIC PARTY,VA,10,10,{10},{2018},{2018},C,C,Challenger,9/27/17 20:56,6/26/17,6/26/17,6/26/17,H8VA10130,2018
HERSCHEL,Herschel,H,House,DEM,DEMOCRATIC PARTY,PA,10,10,{10},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,6/21/17,6/21/17,6/21/17,H8PA10170,2018
KNIGHT,Knight,H,House,REP,REPUBLICAN PARTY,CA,25,25,"{25,25,25}","{2014,2016,2018}","{2014,2016,2018,2020}",P,I,Incumbent,3/27/19 16:02,3/7/14,10/16/18,10/16/18,H4CA25123,2018
ZOUBOULIKOS-BLANCO,Zouboulikos-Blanco,H,House,REP,REPUBLICAN PARTY,TX,29,29,{29},{2018},"{2018,2020}",P,O,Open seat,3/27/19 16:02,1/2/18,1/2/18,1/2/18,H8TX29110,2018
GUILD,Guild,H,House,DEM,DEMOCRATIC PARTY,OK,5,5,"{05,05,05,05,05}","{2010,2012,2014,2016,2018}","{2010,2012,2014,2016,2018}",C,C,Challenger,1/4/18 21:07,4/9/10,12/20/17,12/20/17,H0OK05155,2018
COTTRELL,Cottrell,H,House,DEM,DEMOCRATIC PARTY,FL,11,11,"{11,11}","{2018,2020}","{2018,2020}",N,C,Challenger,1/28/19 21:05,3/12/18,12/3/18,12/3/18,H8FL11130,2020
JONES,Jones,H,House,DEM,DEMOCRATIC PARTY,IL,13,13,{13},{2018},{2018},C,C,Challenger,10/17/17 22:53,7/24/17,7/24/17,7/24/17,H8IL13168,2018
HOLDING,Holding,H,House,REP,REPUBLICAN PARTY,NC,2,2,"{13,13,13,02,02}","{2012,2014,2016,2018,2020}","{2012,2014,2016,2018,2020}",C,I,Incumbent,4/16/19 21:11,7/18/11,4/15/19,4/15/19,H2NC13110,2020
DUNKLEY,Dunkley,H,House,DEM,DEMOCRATIC PARTY,AR,2,2,{02},{2018},{2018},C,C,Challenger,4/16/18 21:15,4/2/18,4/12/18,4/12/18,H8AR02167,2018
CULLUM,Cullum,H,House,REP,REPUBLICAN PARTY,CA,39,39,"{46,46,39}","{2012,2014,2018}","{2012,2014,2016,2018,2020}",P,O,Open seat,3/27/19 16:02,3/21/12,1/31/18,1/31/18,H2CA46123,2018
HEFFERNAN,Heffernan,H,House,DEM,DEMOCRATIC PARTY,TN,6,6,{06},{2018},"{2018,2020}",P,O,Open seat,3/27/19 16:02,6/27/18,6/27/18,6/27/18,H8TN06177,2018
KLEINE,Kleine,H,House,REP,REPUBLICAN PARTY,IL,17,17,{17},{2018},{2018},C,C,Challenger,10/17/17 22:53,8/24/17,8/24/17,8/24/17,H8IL17052,2018
MILLER,Miller,H,House,REP,REPUBLICAN PARTY,FL,7,7,{07},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,6/29/17,10/3/18,10/3/18,H8FL07062,2018
MILLER,Miller,H,House,REP,REPUBLICAN PARTY,MN,7,7,{07},{2018},{2018},C,C,Challenger,9/13/17 20:57,4/12/17,4/12/17,4/12/17,H8MN07086,2018
COLE,Cole,H,House,REP,REPUBLICAN PARTY,OK,4,4,"{04,04,04,04,04,04,04,04,04,04}","{2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}","{2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",N,I,Incumbent,1/28/19 21:05,7/10/02,4/9/19,2/15/18,H2OK04055,2020
FINKENAUER,Finkenauer,H,House,DEM,DEMOCRATIC PARTY,IA,1,1,"{01,01}","{2018,2020}","{2018,2020}",C,I,Incumbent,2/25/19 21:15,4/7/17,12/7/18,12/7/18,H8IA01094,2020
GEORGE,George,H,House,DEM,DEMOCRATIC PARTY,WI,4,4,"{04,04,04}","{2014,2016,2018}","{2014,2016,2018,2020}",P,C,Challenger,3/27/19 16:02,7/27/18,7/27/18,7/27/18,H4WI04241,2018
BROADY,Broady,H,House,DEM,DEMOCRATIC PARTY,GA,11,11,{11},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,4/10/18,4/10/18,4/10/18,H8GA11062,2018
RYWALSKI,Rywalski,H,House,DEM,DEMOCRATIC PARTY,CA,45,45,{45},{2018},{2018},C,C,Challenger,8/1/17 20:57,5/5/17,5/5/17,5/5/17,H8CA45163,2018
PERRI,Perri,H,House,DEM,DEMOCRATIC PARTY,TX,25,25,{25},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,4/18/17,10/17/17,10/17/17,H8TX21174,2018
DAVIS,Davis,H,House,REP,REPUBLICAN PARTY,MD,7,7,{07},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,3/27/18,3/27/18,3/27/18,H8MD07083,2018
SPAIN,Spain,H,House,REP,REPUBLICAN PARTY,FL,22,22,"{22,21,22}","{2014,2016,2018}","{2014,2016,2018,2020}",P,C,Challenger,3/27/19 16:02,6/2/14,8/22/17,8/22/17,H4FL22110,2018
WRIGHT,Wright,H,House,REP,REPUBLICAN PARTY,TX,6,6,"{06,06}","{2018,2020}","{2018,2020}",N,I,Incumbent,1/28/19 21:05,12/1/17,1/7/19,1/7/19,H8TX06233,2020
DAHM,Dahm,H,House,REP,REPUBLICAN PARTY,OK,1,1,"{01,01}","{2010,2018}","{2010,2012,2018,2020}",P,O,Open seat,3/27/19 16:02,11/3/09,5/13/17,5/13/17,H0OK01089,2018
SPOERER,Spoerer,H,House,DEM,DEMOCRATIC PARTY,IL,15,15,{15},{2018},{2018},C,C,Challenger,9/26/17 21:58,2/28/17,2/28/17,2/28/17,H8IL15056,2018
WEAVER,Weaver,H,House,DEM,DEMOCRATIC PARTY,IA,4,4,"{04,04}","{2016,2018}","{2016,2018,2020}",P,C,Challenger,3/27/19 16:02,8/15/15,3/25/17,3/25/17,H6IA04134,2018
ADAMS,Adams,H,House,DEM,DEMOCRATIC PARTY,VA,10,10,{10},{2018},{2018},C,C,Challenger,10/16/17 21:00,7/7/17,7/7/17,7/7/17,H8VA10148,2018
FEIGL-DING,Feigl-Ding,H,House,DEM,DEMOCRATIC PARTY,PA,10,10,{10},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,2/22/18,3/27/18,3/27/18,H8PA10204,2018
WARD,Ward,H,House,REP,REPUBLICAN PARTY,FL,6,6,{06},{2018},"{2018,2020}",P,O,Open seat,3/27/19 16:02,10/12/17,10/12/17,10/12/17,H8FL06122,2018
HORNBERGER,Hornberger,H,House,REP,REPUBLICAN PARTY,PA,9,9,"{13,09}","{2018,2020}","{2018,2020}",N,C,Challenger,1/28/19 21:05,10/3/17,1/18/18,1/18/18,H0PA09039,2020
POZOS,Pozos,H,House,REP,REPUBLICAN PARTY,PA,7,7,{07},{2018},{2018},C,O,Open seat,4/27/18 0:10,2/9/18,2/9/18,2/9/18,H8PA07218,2018
WEISS,Weiss,H,House,DEM,DEMOCRATIC PARTY,NV,3,3,{03},{2018},{2018},C,O,Open seat,4/17/18 21:13,7/24/17,7/24/17,7/24/17,H8NV03168,2018
DUNN,Dunn,H,House,REP,REPUBLICAN PARTY,FL,2,2,"{02,02,02}","{2016,2018,2020}","{2016,2018,2020}",C,I,Incumbent,4/18/19 21:20,7/29/15,4/18/19,4/18/19,H6FL02208,2020
HAULMARK,Haulmark,H,House,DEM,DEMOCRATIC PARTY,KS,3,3,{03},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,5/30/17,5/30/17,5/30/17,H8KS03098,2018
GRANGER,Granger,H,House,REP,REPUBLICAN PARTY,TX,12,12,"{12,12,12,12,12,12,12,12,12,12,12,12,12}","{1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}","{1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,3/26/19 21:06,1/3/96,1/6/19,1/6/19,H6TX12060,2020
DAVIS,Davis,H,House,REP,REPUBLICAN PARTY,IL,13,13,"{13,13,13,13,13}","{2012,2014,2016,2018,2020}","{2012,2014,2016,2018,2020}",C,I,Incumbent,3/29/19 21:06,5/24/12,3/1/19,3/1/19,H2IL13120,2020
SPIERS,Spiers,H,House,REP,REPUBLICAN PARTY,TX,2,2,{02},{2018},"{2018,2020}",P,O,Open seat,3/27/19 16:02,12/7/17,12/7/17,12/7/17,H8TX02208,2018
SEAMANS,Seamans,H,House,DEM,DEMOCRATIC PARTY,NY,27,27,{27},{2018},{2018},C,O,Open seat,8/12/18 21:02,1/8/18,1/8/18,1/8/18,H8NY27168,2018
NICKLOES,Nickloes,H,House,REP,REPUBLICAN PARTY,TN,2,2,{02},{2018},{2018},C,O,Open seat,7/17/18 21:11,2/23/18,7/9/18,7/9/18,H8TN02218,2018
EPLEY,Epley,H,House,REP,REPUBLICAN PARTY,SC,4,4,{04},{2018},"{2018,2020}",P,O,Open seat,3/27/19 16:02,4/2/18,4/2/18,4/2/18,H8SC04409,2018
CURTIS,Curtis,H,House,DEM,DEMOCRATIC PARTY,IN,9,9,{09},{2018},{2018},C,C,Challenger,10/17/17 22:53,7/6/17,7/6/17,7/6/17,H8IN09099,2018
FISCHER,Fischer,H,House,DEM,DEMOCRATIC PARTY,SC,7,7,{07},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,8/28/17,8/28/17,8/28/17,H8SC07048,2018
MARQUEZ PETERSON,Marquez Peterson,H,House,REP,REPUBLICAN PARTY,AZ,2,2,{02},{2018},"{2018,2020}",P,O,Open seat,3/27/19 16:02,12/12/17,9/18/18,9/18/18,H8AZ02185,2018
MCADAMS,Mcadams,H,House,DEM,DEMOCRATIC PARTY,UT,4,4,"{04,04}","{2018,2020}","{2018,2020}",C,I,Incumbent,4/3/19 21:06,10/18/17,12/14/18,12/14/18,H8UT04053,2020
VILLESCAZ,Villescaz,H,House,DEM,DEMOCRATIC PARTY,TX,23,23,{23},{2018},{2018},N,C,Challenger,1/4/18 21:07,12/26/17,12/26/17,12/26/17,H8TX23162,2018
CAMPA-NAJJAR,Campa-Najjar,H,House,DEM,DEMOCRATIC PARTY,CA,50,50,"{50,50}","{2018,2020}","{2018,2020}",C,C,Challenger,3/29/19 21:06,3/27/17,12/31/18,12/31/18,H8CA50098,2020
RODRIGUEZ-AGUILERA,Rodriguez-Aguilera,H,House,REP,REPUBLICAN PARTY,FL,27,27,{27},{2018},"{2018,2020}",P,O,Open seat,3/27/19 16:02,8/28/17,8/28/17,8/28/17,H8FL27094,2018
DANDRIDGE,Dandridge,H,House,REP,REPUBLICAN PARTY,TX,6,6,{06},{2018},"{2018,2020}",P,O,Open seat,3/27/19 16:02,12/4/17,12/4/17,12/4/17,H8TX06241,2018
DINICOLA,Dinicola,H,House,DEM,DEMOCRATIC PARTY,PA,16,16,"{21,21,16}","{1994,1996,2018}","{1994,1996,1998,2000,2018,2020}",P,C,Challenger,3/27/19 16:02,11/9/93,9/19/18,9/19/18,H4PA21069,2018
EASTMAN,Eastman,H,House,DEM,DEMOCRATIC PARTY,NE,2,2,"{02,02}","{2018,2020}","{2018,2020}",N,C,Challenger,1/28/19 21:05,5/3/17,1/3/19,1/3/19,H8NE02220,2020
JANOWICZ,Janowicz,H,House,DEM,DEMOCRATIC PARTY,CA,39,39,{39},{2018},"{2018,2020}",P,O,Open seat,3/27/19 16:02,4/25/17,4/25/17,4/25/17,H8CA39133,2018
CRIDER,Crider,H,House,REP,REPUBLICAN PARTY,IN,6,6,{06},{2018},{2018},C,O,Open seat,1/9/18 21:09,8/22/17,8/22/17,8/22/17,H8IN06095,2018
BROWN,Brown,H,House,DEM,DEMOCRATIC PARTY,FL,5,5,{05},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,1/30/18,1/30/18,1/30/18,H8FL05140,2018
KIM,Kim,H,House,DEM,DEMOCRATIC PARTY,NJ,3,3,"{03,03}","{2018,2020}","{2018,2020}",C,I,Incumbent,3/27/19 21:06,6/19/17,11/26/18,11/26/18,H8NJ03206,2020
RYAN,Ryan,H,House,DEM,DEMOCRATIC PARTY,MA,3,3,{03},{2018},{2018},C,O,Open seat,2/7/18 21:13,10/16/17,10/16/17,10/16/17,H8MA03148,2018
NEWLAND,Newland,H,House,REP,REPUBLICAN PARTY,GA,13,13,{13},{2018},{2018},N,C,Challenger,1/9/18 21:09,1/5/18,1/5/18,1/5/18,H8GA13019,2018
SARGENT,Sargent,H,House,REP,REPUBLICAN PARTY,TX,14,14,{14},{2018},{2018},C,C,Challenger,10/11/17 20:57,9/8/17,9/8/17,9/8/17,H8TX14153,2018
HEITNER,Heitner,H,House,DEM,DEMOCRATIC PARTY,NM,1,1,{01},{2018},"{2018,2020}",N,O,Open seat,1/30/18 21:08,1/26/18,1/26/18,1/26/18,H8NM01455,2018
BRILL,Brill,H,House,DEM,DEMOCRATIC PARTY,AZ,4,4,{04},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,1/12/18,1/12/18,1/12/18,H8AZ04140,2018
SCOTT,Scott,H,House,DEM,DEMOCRATIC PARTY,OH,12,12,{12},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,12/4/17,12/4/17,12/4/17,H8OH12164,2018
CHAVEZ,Chavez,H,House,DEM,DEMOCRATIC PARTY,TX,16,16,{16},{2018},"{2018,2020}",P,O,Open seat,3/27/19 16:02,12/15/17,12/15/17,12/15/17,H8TX16141,2018
KELLY,Kelly,H,House,REP,REPUBLICAN PARTY,MS,1,1,"{01,01,01}","{2016,2018,2020}","{2016,2018,2020}",N,I,Incumbent,1/28/19 21:05,3/11/15,4/11/19,5/8/17,H6MS01131,2020
ING,Ing,H,House,DEM,DEMOCRATIC PARTY,HI,1,1,{01},{2018},"{2018,2020}",P,O,Open seat,3/27/19 16:02,11/1/17,11/1/17,11/1/17,H8HI01192,2018
SANDERS,Sanders,H,House,REP,REPUBLICAN PARTY,SC,4,4,{04},{2018},"{2018,2020}",N,O,Open seat,3/26/18 23:01,3/16/18,3/16/18,3/16/18,H8SC04367,2018
DUFFY,Duffy,H,House,REP,REPUBLICAN PARTY,WI,7,7,"{07,07,07,07,07,07}","{2010,2012,2014,2016,2018,2020}","{2010,2012,2014,2016,2018,2020}",C,I,Incumbent,4/3/19 21:06,7/6/09,3/10/19,3/10/19,H0WI07051,2020
DAVIS,Davis,H,House,DEM,DEMOCRATIC PARTY,SC,4,4,{04},{2018},{2018},C,O,Open seat,4/18/18 21:13,12/13/17,12/13/17,12/13/17,H8SC04201,2018
SHEPHERD,Shepherd,H,House,REP,REPUBLICAN PARTY,CA,41,41,"{41,41}","{2016,2018}","{2016,2018,2020}",N,C,Challenger,4/19/17 21:05,10/12/15,3/20/17,3/20/17,H6CA41182,2018
LOVAS,Lovas,H,House,REP,REPUBLICAN PARTY,AZ,8,8,{08},{2018},{2018},C,O,Open seat,2/6/18 21:17,12/13/17,12/13/17,12/13/17,H8AZ08133,2018
WHEELER,Wheeler,H,House,DEM,DEMOCRATIC PARTY,AZ,2,2,{02},{2018},"{2018,2020}",P,O,Open seat,3/27/19 16:02,8/24/17,8/24/17,8/24/17,H8AZ02169,2018
MCCAUL,Mccaul,H,House,REP,REPUBLICAN PARTY,TX,10,10,"{10,10,10,10,10,10,10,10,10}","{2004,2006,2008,2010,2012,2014,2016,2018,2020}","{2004,2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,3/26/19 21:06,11/17/03,2/1/19,2/1/19,H4TX10093,2020
MOTT-SMITH,Mott-Smith,H,House,DEM,DEMOCRATIC PARTY,UT,4,4,{04},{2018},{2018},C,C,Challenger,9/27/17 20:56,4/5/17,4/5/17,4/5/17,H8UT04020,2018
SARNOSKI,Sarnoski,H,House,REP,REPUBLICAN PARTY,NJ,5,5,{05},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,9/7/17,9/7/17,9/7/17,H8NJ05128,2018
