name,cycles,treasurer_name,committee_type,committee_type_full,filing_frequency,designation,designation_full,organization_type,organization_type_full,party,party_full,state,committee_id,candidate_ids,first_file_date,last_file_date,last_f1_date
SOLA FOR FLORIDA,{2018},"MARSTON, CHRIS",H,House,T,A,Authorized by a candidate,,,REP,REPUBLICAN PARTY,FL,C00637819,H8FL24059,4/17/17,9/29/17,7/11/17
"SHEILA CHERFILUS MCCORMICK FOR CONGRESS, INC","{2018,2020}","AINA, OLUBISI DR",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,FL,C00677492,H8FL20032,4/27/18,2/19/19,4/27/18
SEAN FRAME FOR CONGRESS,"{2018,2020}","DEANE, SHAWNDA",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00691790,H0CA04167,11/18/18,4/15/19,3/19/19
SODERBERG FOR CONGRESS,"{2018,2020}","TARLETON, ANN",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,FL,C00649798,H8FL06098,7/10/17,4/15/19,12/21/18
FRIENDS OF LISA AND SEAN,"{2018,2020}","PETTERSON, JAY",H,House,T,J,Joint fundraising committee,,,,,WA,C00684274,,8/2/18,1/31/19,8/2/18
COLTON FOR CONGRESS,"{2018,2020}",KEITH COLTON,H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,OH,C00669689,H8OH09087,2/12/18,2/19/19,2/12/18
SUSAN MORAN PALMER FOR CONGRESS,{2018},"BELL, DENISE",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,OH,C00667915,H8OH16157,1/30/18,12/21/18,8/1/18
BARRY4CONGRESS 2018,{2018},"HERMANSON, ROBERT B.",H,House,T,P,Principal campaign committee,,,GRE,GREEN PARTY,CA,C00632158,H4CA12089,2/1/17,7/23/18,2/1/17
FRIENDS OF PAUL DILKS,"{2018,2020}","PAWLAK, KENNETH",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,NJ,C00675017,H8NJ01259,4/2/18,2/25/19,4/13/18
BRAD BOIVIN FOR CONGRESS,{2018},"BURNS, JAMES DR.",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,WI,C00678961,H8WI01172,5/17/18,8/21/18,5/17/18
METSA FOR CONGRESS,{2018},"WELLS-BOYER, MILLIE",H,House,T,P,Principal campaign committee,,,DFL,DEMOCRATIC-FARM-LABOR,MN,C00672345,H8MN08084,3/6/18,10/18/18,3/6/18
CHINTAN DESAI FOR CONGRESS,{2018},UMESH DESAI,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,AR,C00661371,H8AR01029,11/22/17,12/5/18,1/18/18
BILL GRASSIE COMMITTEE TO ELECT,{2018},"HILL, HOLLY",H,House,T,P,Principal campaign committee,,,NPA,NO PARTY AFFILIATION,WA,C00657353,"H2KS03125,H8WA08221",10/6/17,10/10/18,10/6/17
COMMITTEE TO ELECT KEVIN CALDWELL,"{2018,2020}","UHLMAN, HEATHER LYNN MRS",H,House,Q,P,Principal campaign committee,,,LIB,LIBERTARIAN PARTY,MD,C00657338,H8MD06192,10/6/17,10/6/17,10/6/17
DINICOLA FOR CONGRESS,"{2018,2020}","MITCHELL, CHRISTINE A. MS.",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,PA,C00673350,H4PA21069,3/14/18,4/15/19,9/19/18
LASALA FOR CONGRESS,"{2018,2020}","LASALA, MICHAEL MR.",H,House,Q,P,Principal campaign committee,,,IND,INDEPENDENT,PA,C00678219,H8PA11129,5/7/18,5/7/18,5/7/18
GREEN FOR CONGRESS - TX22,"{2018,2020}","GREEN, JAMES 2817788736",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,TX,C00665893,H8TX22248,1/12/18,2/19/19,1/12/18
FRIENDS & SUPPORTERS SCOTT SHOBLOM FOR CONGRESS,{2018},"SHOBLOM, SCOTT",H,House,T,P,Principal campaign committee,,,IND,INDEPENDENT,CA,C00660266,H8CA10191,11/10/17,8/2/18,11/10/17
ELLEE SPAWN FOR SOUTH DAKOTA,"{2018,2020}","QUINLIVAN, MIKE",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,SD,C00691519,H0SD01060,12/5/18,2/1/19,12/5/18
ELIZABETH PANNILL FLETCHER FOR CONGRESS,"{2018,2020}","CENTER, GORDON",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,TX,C00640045,H8TX07140,5/11/17,4/15/19,4/5/19
VOTE CLARENCE GOINS,"{2018,2020}","RICKMAN, DENNIS",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,NC,C00668350,H8NC09149,2/2/18,2/2/18,2/2/18
DOROTHY GASQUE FOR CONGRESS,"{2018,2020}","JONES, MEGAN",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,WA,C00630798,H8WA03172,1/11/17,2/19/19,2/8/17
NEVADANS FOR STEVEN HORSFORD,"{2018,2020}","PETTERSON, JAY",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,NV,C00668228,H2NV04011,2/1/18,4/15/19,11/26/18
ROBERT CROOK FOR CONGRESS,"{2018,2020}","VERRICO, MARIANO F",H,House,T,P,Principal campaign committee,,,IND,INDEPENDENT,NJ,C00683169,,7/18/18,4/25/19,4/25/19
ROBERT CHEADER FOR CONGRESS,{2018},ROBERT NEIL CHEADER,H,House,T,P,Principal campaign committee,,,IND,INDEPENDENT,CA,C00640821,H8CA20083,5/18/17,7/20/17,5/22/17
FRIENDS OF STEVE BACHER,{2018},"MELCHIOR, MARY",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,PA,C00664524,H8PA08166,1/2/18,7/8/18,2/27/18
"COMMITEE TO ELECT PHILLIP CONNER MD, LLC",{2018},"HACHTEL, CANDACE",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,LA,C00656579,H8LA03045,9/28/17,10/15/18,3/27/18
SUPERINTELLIGENCE FOR ALL,"{2018,2020}","ABDALLAH, TARIK",H,House,Q,P,Principal campaign committee,,,NNE,NONE,VA,C00691386,H0VA10152,11/10/18,12/10/18,11/10/18
WILLIAMS FOR CONGRESS,{2018},"MERCER, ALICE",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,TN,C00640110,H8TN02101,5/11/17,10/22/18,9/30/17
FRIENDS OF MARC FRIEDENBERG,"{2018,2020}","REDDINGTON, LAURA",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,PA,C00655084,H8PA05204,9/11/17,4/14/19,1/23/18
DR JOHN JOYCE FOR CONGRESS,"{2018,2020}","KILGORE, PAUL",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,PA,C00674259,H8PA13125,3/22/18,4/15/19,12/13/18
MARK DENT FOR CONGRESS,"{2018,2020}","DENT, MARK",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,OH,C00660506,H8OH16140,11/14/17,11/14/17,11/14/17
ROBERT4REP,"{2018,2020}","MASON, MICHAEL THOMAS",H,House,Q,P,Principal campaign committee,,,IND,INDEPENDENT,TX,C00635268,H8TX03131,3/19/17,9/26/17,9/26/17
ALVIN FOR CONGRESS,"{2018,2020}","HENRICHSEN, NLH",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,FL,C00667758,H8FL05140,1/30/18,4/15/19,4/15/19
EDWARDS FOR OK 2018,{2018},"EDWARDS, DEJUAN",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,OK,C00678250,H8OK05190,5/8/18,10/18/18,5/8/18
GODFREY FOR CONGRESS,"{2018,2020}","GODFREY, KRISTEN",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,OH,C00639567,H8OH16090,5/5/17,4/12/19,12/9/17
MICHAEL SMITH FOR IDAHO,"{2018,2020}","SMITH, MICHAEL WILLIAM",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,ID,C00635458,H8ID01108,3/21/17,3/21/17,3/21/17
FRIENDS OF ROXANN KLUTTS,"{2018,2020}","HOLKUM, DONALD GENE MR.",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,OK,C00676825,H8OK04086,4/20/18,4/20/18,4/20/18
BOB HUFF FOR CONGRESS,{2018},"HAMEL, DARLENE",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,CA,C00665802,H8CA39224,1/12/18,12/16/18,1/12/18
DONNA MERCADO KIM FOR CONGRESS,"{2018,2020}","JONES, LISA L",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,HI,C00659714,H4HI01167,10/19/17,4/15/19,12/26/17
HOLCOMB 4 CONGRESS,"{2018,2020}",CHRISTA HOLCOMB,H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,MO,C00669697,H8MO07215,2/12/18,4/10/18,4/10/18
THE GPS VICTORY FUND,"{2018,2020}","WINPISINGER, VICKIE L",H,House,Q,J,Joint fundraising committee,,,,,MD,C00677625,,4/30/18,4/1/19,5/24/18
MARTIN FOR FREEDOM,"{2018,2020}",TIM SIFERT,H,House,T,A,Authorized by a candidate,,,REP,REPUBLICAN PARTY,AZ,C00668285,H8AZ02201,1/27/18,2/19/19,3/15/18
PULLEN FOR US,{2018},"LANGFITT, SUSAN M.",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,MD,C00650812,H8MD01185,7/19/17,7/31/18,7/19/17
MARTY FOR CONGRESS INC,"{2018,2020}","MARSTON, CHRIS",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,PA,C00658583,H8PA15245,10/19/17,4/15/19,10/8/18
ANTHONY PAPPAS FOR CONGRESS,{2018},PATRICK COLABELLA,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,NY,C00689349,H8NY14133,10/10/18,11/28/18,11/26/18
BCY COMMITTEE,{2018},"KILGORE, PAUL",H,House,T,J,Joint fundraising committee,,,,,GA,C00658146,,10/16/17,2/19/18,10/17/17
RICHARD CASTALDO FOR CONGRESS 2018,"{2018,2020}","CASTALDO, KATHRYN ROSE",H,House,Q,P,Principal campaign committee,,,LIB,LIBERTARIAN PARTY,OK,C00681791,H8OK02197,6/28/18,1/31/19,6/28/18
COLORADANS FOR AARESTAD,{2018},"PHILLIPS, JOHN",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CO,C00637678,H8CO06237,4/14/17,1/30/19,9/1/17
HOUSE VICTORY 2018,"{2018,2020}","BRENGARTH, MEGAN",H,House,T,J,Joint fundraising committee,,,,,DC,C00683367,,7/23/18,2/22/19,7/23/18
FRIENDS OF CLINT KOBLE,"{2018,2020}","KELLER, LYNNE MS.",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,NV,C00666420,H8NV02095,1/18/18,4/14/19,1/18/18
COMMITTEE TO ELECT MATT HARRIS,"{2018,2020}","BEATTY, LELAND MR",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,TX,C00660878,"H4NJ01076,H8TX10144",11/16/17,2/26/18,12/29/17
BILL HOPKINS FOR CONGRESS,"{2018,2020}","HOPKINS, WILLIAM E. JR.",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,SC,C00670414,H8SC07055,2/19/18,3/13/19,7/12/18
FERGUSON FOR 1ST,"{2018,2020}","FERGUSON, JACOB",H,House,Q,A,Authorized by a candidate,,,DEM,DEMOCRATIC PARTY,MI,C00637488,H4MI01130,4/12/17,4/12/17,4/12/17
ELISSA SLOTKIN FOR CONGRESS,"{2018,2020}","KYRIACOPOULOS, JANICA",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,MI,C00650150,H8MI08102,7/12/17,4/15/19,4/7/19
CHAMBERLIN FOR CONGRESS,"{2018,2020}","STOFFEL, RONALD K",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,MN,C00665075,H8MN05197,1/8/18,11/16/18,8/2/18
O'CULL FOR CONGRESS,"{2018,2020}","O'CULL, SAYRE",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,KY,C00632521,H8KY04128,2/6/17,10/25/17,2/6/17
HOLDING ROUZER MAJORITY COMMITTEE,"{2018,2020}","MCMICHAEL, COLLIN",H,House,Q,J,Joint fundraising committee,,,,,NC,C00688309,,9/26/18,4/12/19,9/26/18
ISAAC FOR TEXAS,"{2018,2020}","HOBBS, CABELL",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,TX,C00660274,H8TX21216,11/10/17,4/15/19,11/10/17
DR. JIM MAXWELL FOR CONGRESS,"{2018,2020}","MCCURDY, JOHN",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,NY,C00666164,H8NY25097,1/17/18,1/30/19,8/28/18
"CLAY PADGETT FOR CONGRESS, LLC",{2018},"ARENDS, PATRICK R.",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,OK,C00670703,H8OK02155,2/21/18,10/12/18,2/21/18
FLOYD HARVEY FOR CONGRESS,"{2018,2020}","HARVEY, FLOYD LEE JR",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,CA,C00671180,H4CA42110,2/23/18,2/23/18,2/23/18
ERIN COLE FOR CONGRESS,{2018},"ZAIMAN, MITCH",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,NY,C00650895,H8NY27127,7/19/17,2/19/18,7/19/17
RIMENSNYDER FOR CONGRESS,"{2018,2020}",LISA M NICKERSON,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,DC,C00685990,H4DC00092,8/22/18,2/15/19,8/22/18
WEXTON FOR CONGRESS,"{2018,2020}","KOWALSKI, JOAN",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,VA,C00638023,H8VA10106,4/20/17,4/15/19,1/31/19
GRIMES FOR CONGRESS,{2018},"KYRIACOPOULOS, JANICA",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,FL,C00666677,H8FL26054,1/19/18,10/18/18,1/19/18
COMMITTEE TO ELECT JOSH IMHOFF FOR CONGRESS,"{2018,2020}","MARTINEZ, URIEL",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,TX,C00663328,H8TX24129,12/14/17,1/31/18,1/31/18
RAPHOON FOR AMERICA,"{2018,2020}","JOLY, WENDY BETH",H,House,Q,P,Principal campaign committee,,,IND,INDEPENDENT,MI,C00679126,H8MI13334,5/18/18,5/18/18,5/18/18
CASTEN FOR CONGRESS,"{2018,2020}","SCHEFFKI, MICHELLE M.",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,IL,C00648493,H8IL06139,6/22/17,4/15/19,10/3/18
VOTE TODD MITCHEM,{2018},"MITCHEM, DIANA",H,House,T,P,Principal campaign committee,,,LIB,LIBERTARIAN PARTY,CO,C00655266,H8CO02210,9/12/17,4/26/18,9/12/17
SENDING JASEN LAVE TO CONGRESS 2018,{2018},"LAVE, KENNETH JASSEN",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,IN,C00665547,H8IN04223,1/11/18,10/25/18,1/23/18
CODY FOR OREGON,{2018},"REYNOLDS, STEVEN CODY",H,House,A,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,OR,C00638437,H2OR01216,4/24/17,8/15/18,4/24/17
CHRIS HEARSEY FOR CONGRESS,{2018},"BERK, JOSHUA",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,MD,C00659516,H8MD06218,10/31/17,11/14/18,7/23/18
LENA FOR CONGRESS,"{2018,2020}","MAMAT, FRANK",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,MI,C00641498,"H8MI11320,S8MI00356",5/24/17,4/15/19,12/14/18
CITIZENS FOR HEATHER RYAN,"{2018,2020}","MCNEW, CARL",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,IA,C00647248,H8IA03132,6/7/17,2/19/19,6/7/17
BRIAN FORDE FOR CONGRESS,"{2018,2020}","FORDE, BRIAN",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00650911,H8CA45189,7/19/17,4/9/19,1/30/19
GREG JONES FOR US CONGRESS,"{2018,2020}","JONES, MALEIKA",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,AK,C00665737,,1/11/18,1/11/18,1/11/18
ELYSABETH BRITT FOR CONGRESS,"{2018,2020}","BLACK, CARRIE MRS.",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,OK,C00673426,,3/14/18,1/31/19,3/14/18
DON BOYAJIAN FOR CONGRESS,{2018},"JACKSON, SUSAN",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,NY,C00652172,H8NY21286,8/1/17,9/30/18,2/6/18
RON WIECZOREK FOR CONGRESS,"{2018,2020}",RONALD LEE WIECZOREK,H,House,Q,P,Principal campaign committee,,,IND,INDEPENDENT,SD,C00681767,H2SD00068,6/26/18,2/21/19,8/6/18
SEAN HARPER FOR CONGRESS,{2018},"SHIVERS, JEFF",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,FL,C00677583,H8FL15263,4/30/18,11/5/18,4/30/18
TIM MILLER FOR CONGRESS,{2018},"KABRICK, TRAVIS",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,MN,C00637470,H8MN07086,4/12/17,6/6/18,1/26/18
COMMITTEE TO ELECT LORETTA MILLER,"{2018,2020}",MARCUS F MILLER,H,House,Q,A,Authorized by a candidate,,,REP,REPUBLICAN PARTY,FL,C00636456,H8FL15164,3/15/17,7/15/17,4/3/17
KIEHNE FOR UNITY,"{2018,2020}","HACKNEY, JEFF",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,MO,C00666958,H8MO03180,1/23/18,7/19/18,3/19/18
CHARLES SCHAUPP FOR CONGRESS 2018,"{2018,2020}","SCHAUPP, CHARLES",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,CA,C00673129,H6CA03067,3/12/18,4/16/19,3/12/18
BETHEL4CONGRESS,"{2018,2020}","BRIGGS, RONALD",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,TX,C00663807,H8TX04170,12/20/17,4/24/19,4/24/19
JAN GARBETT FOR CONGRESS,"{2018,2020}","MCCAULEY, MIKE",H,House,Q,P,Principal campaign committee,,,UUP,,UT,C00669879,H8UT02305,2/13/18,4/2/19,4/12/18
WEAVER FOR CONGRESS,"{2018,2020}","WEAVER, KIM",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,IA,C00635839,H6IA04134,3/25/17,4/15/19,6/30/17
DAVID BRILL FOR CONGRESS COMMITTEE,{2018},"BRILL, DAVID",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,AZ,C00664359,H8AZ04140,1/1/18,1/26/18,1/23/18
GEORGE HALCOVAGE FOR CONGRESS,"{2018,2020}","JOY, CHRISTY",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,PA,C00673558,H8PA09073,3/16/18,4/17/19,3/16/18
ROCHELLE WILCOX FOR CONGRESS,{2018},"DEANE, SHAWNDA",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00639906,H8CA04186,5/10/17,1/30/18,6/27/17
ARN FOR COLORADO,"{2018,2020}","MENCONI, ARN",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CO,C00672782,H8CO03242,3/8/18,3/8/18,3/8/18
GRAYSON PARKER FOR CONGRESS,"{2018,2020}","PARKER, GRAYSON",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,NC,C00671644,H8NC07127,2/28/18,4/15/19,2/28/18
ARUNA MILLER FOR CONGRESS,"{2018,2020}","SEKHSARIA, SUDHIR MD",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,MD,C00639427,H8MD06143,5/4/17,2/19/19,5/4/17
KELLY MCCARTHY FOR MONTANA,{2018},"ROGERS, JOHN",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,MT,C00631929,H8MT01174,1/27/17,4/30/18,3/30/17
RACHEL PAYNE FOR CONGRESS,"{2018,2020}","PAYNE, RACHEL",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00661405,H8CA48159,11/24/17,3/14/19,5/23/18
TOFT FOR CONGRESS,"{2018,2020}","LIND, KATE",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,WI,C00658807,H8WI03103,10/23/17,4/23/19,10/23/17
JEFF DOVE FOR CONGRESS,"{2018,2020}","DOVE-SMITH, LAKEISHA",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,VA,C00630384,H8VA11070,1/1/17,4/15/19,1/1/17
SHAK HILL FOR CONGRESS,"{2018,2020}","CURTIS, ELIZABETH",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,NJ,C00651224,H8VA10155,7/24/17,2/8/19,10/15/18
TOM WOODS FOR MONTANA,{2018},"PETTERSON, JAY",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,MT,C00657890,H8MT00127,10/12/17,2/2/18,10/12/17
FOR THE OFFICE OF JENNA GERATY SQUIRES,"{2018,2020}","SQUIRES, JENNA",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,MO,C00634634,,3/9/17,8/29/17,3/14/17
FRANCO FOR CONGRESS,"{2018,2020}","DEANE, SHAWNDA",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00649095,H8CA22147,6/30/17,4/15/19,12/6/17
BRUCE MCPHERSON FOR CONGRESS,{2018},"MCPHERSON, STEPHANIE",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,GA,C00656165,H8GA02061,9/21/17,4/20/18,9/21/17
ERIKA STOTTS PEARSON FOR CONGRESS,"{2018,2020}","TURNER, GREGORY",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,TN,C00684977,H6TN08250,8/10/18,4/15/19,9/7/18
RUEBEN BROCK FOR CONGRESS,"{2018,2020}",DARRA BROCK,H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,PA,C00659649,H8PA00023,11/2/17,12/25/17,11/2/17
FRED SWANN FOR CONGRESS,"{2018,2020}","SWANN, REBECCA A MRS.",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,GA,C00633131,H8GA08076,2/15/17,2/15/19,2/15/17
KANEW FOR CONGRESS,"{2018,2020}","KANEW, JUSTIN",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,TN,C00638403,H8TN07068,4/24/17,4/15/19,6/12/17
FRIENDS OF LYNDA MOSS,{2018},"ROSS, MIKE",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,MT,C00659292,H8MT01224,10/27/17,11/21/18,10/27/17
BRIANNA WU FOR CONGRESS,"{2018,2020}","WU, FRANK",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,MA,C00633669,H8MA08170,2/22/17,4/13/19,2/22/17
CINDY AXNE FOR CONGRESS,"{2018,2020}","FIIHR, JENNIFER",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,IA,C00646844,H8IA03124,6/2/17,4/15/19,4/6/19
CAROL O'BRIEN FOR CONGRESS,{2018},"YUSKEWICH, J. MATTHEW",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,OH,C00662825,H8OH12206,12/7/17,10/26/18,12/28/17
FRIENDS FOR MARK BIGNELL,{2018},"BIGNELL, MARK",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,MI,C00660399,H8MI04093,11/13/17,1/17/18,1/11/18
FRIENDS OF DR. DANIELLE MITCHELL,"{2018,2020}",WARREN BARNETT,H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,TN,C00641001,H8TN03208,5/19/17,4/4/19,3/23/18
FRIENDS OF DIANE FRASER,"{2018,2020}","GLOVER, SHARON",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,VA,C00659276,H8VA07102,10/27/17,2/19/19,10/27/17
CHRISTINE4CONGRESS,"{2018,2020}","MANN, TRAVIS",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,TX,C00638346,H8TX31033,4/24/17,4/12/19,8/29/17
"KEVIN JONES FOR CONGRESS, INC.","{2018,2020}","MCPHERSON, CRAIG",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,KS,C00654004,H8KS02181,8/26/17,4/15/19,8/26/17
GIPSON 4 CONGRESS CAMPAIGN COMMITTEE,"{2018,2020}","KAHN, MICHAEL GERRY MR.",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,OK,C00675405,H8OK04078,4/4/18,2/19/19,4/4/18
AUGUSTINE REYES FOR CONGRESS,"{2018,2020}","REYNA, CAMILLA ANNE MS.",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,TX,C00666834,H8TX29128,1/22/18,2/19/19,1/22/18
KYLE FOR WISCONSIN,"{2018,2020}","SOLANDER, KRISTIN",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,DC,C00667576,H8WI07088,1/29/18,1/30/19,1/29/18
ERIC GRABEN FOR CONGRESS,{2018},"GRABEN, ERIC KNOX",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,SC,C00673756,H8SC04359,3/19/18,7/30/18,4/5/18
COMMITTEE TO RE-ELECT STEVE WATKINS,"{2018,2020}","MARTIN, STEVEN G. JR.",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,KS,C00660050,H8KS02199,11/7/17,4/15/19,4/15/19
SEARCY FOR CONGRESS,{2018},"VOLLAND, LORRIE",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,NC,C00649749,H8NC02086,7/10/17,5/8/18,1/12/18
PETERSON FOR CONGRESS,"{2018,2020}",DAVID PETERSON,H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00672923,H6CA01202,3/9/18,2/19/19,3/9/18
PAULAHA FOR CONGRESS,"{2018,2020}","PAULAHA, DENNIS FRANK",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,WI,C00677518,H8WI07120,4/27/18,4/27/18,4/27/18
BENITO BENNY BERNAL FOR CONGRESS 2018,{2018},DAVID HERNANDEZ,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,CA,C00673772,H6CA29203,3/20/18,12/16/18,6/18/18
DIRK DEAM EXPLORATORY COMMITTEE,{2018},"LARSON, DREW",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,IA,C00635276,H8IA04098,3/19/17,7/19/17,3/19/17
SHERI FEW FOR CONGRESS,"{2016,2018}","FEW, APRIL",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,SC,C00631200,H8SC05091,1/17/17,8/2/17,1/17/17
CAREY FOR CONGRESS,"{2018,2020}","CAREY, PETER",H,House,Q,P,Principal campaign committee,,,OTH,OTHER,VA,C00671271,H8VA11104,2/25/18,2/25/18,2/25/18
