name,cycles,treasurer_name,committee_type,committee_type_full,filing_frequency,designation,designation_full,organization_type,organization_type_full,party,party_full,state,committee_id,candidate_ids,first_file_date,last_file_date,last_f1_date
FRIENDS OF MARSHALL FARRIER FOR CONGRESS,{1988},CHARLES R WINN,H,House,T,P,Principal campaign committee,,,,,OK,C00227207,H8OK02064,5/5/88,2/7/89,5/5/88
JOHN GOMEZ FOR CONGRESS,"{2010,2012}","PASSERO, DENISE",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,NY,C00477794,H0NY02184,3/8/10,2/8/11,7/9/10
CHRIS MARQUEZ FOR CONGRESS,{2014},MIKE RICHARDSON,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00550590,H4CA42094,10/21/13,7/3/14,10/21/13
TAMERIUS FOR CONGRESS,"{1996,1998,2000}",ARTHUR J WANKEL,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00322487,H4CA51020,9/3/96,3/19/99,9/3/96
PHIL TROYER FOR CONGRESS COMMITTEE,"{1992,1994}",SYLVIA M SCHEERINGA,H,House,T,P,Principal campaign committee,,,,,IN,C00263962,H0IN04105,3/31/92,1/12/93,1/12/93
DENNIS L NULL FOR CONGRESS COMMITTEE,"{1996,1998,2000,2002}",DR TIM MILLER CPA,H,House,A,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,KY,C00310185,H6KY01052,1/2/96,2/12/02,1/2/96
JOE MARTINEZ FOR CONGRESS,"{2014,2016}",SUSANA TACORONTE,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,FL,C00550764,H4FL26061,10/23/13,3/16/15,10/23/13
GIVENS '88 COMMITTEE,"{1988,1990}",JEANNE GIVENS,H,House,T,A,Authorized by a candidate,,,DEM,DEMOCRATIC PARTY,ID,C00226811,H8ID01041,4/28/88,4/6/90,9/19/89
CONNERY CONGRESS COMMITTEE,"{1980,1982}",MERRILY G CONNERY,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,CT,C00126631,H0CT02082,4/25/80,2/9/82,4/25/80
STELLA FOR CONGRESS,"{2016,2018,2020}","ANTOGNOLI, EDWARD LOUIS MR.",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,IL,C00586065,H6IL11133,9/5/15,4/9/19,9/9/15
LOGAN FOR CONGRESS,"{1992,1994,1996}",JAMES J TIMMINGS JR,H,House,A,P,Principal campaign committee,,,,,NY,C00274290,H2NY19044,8/13/92,8/13/92,8/13/92
BOB WEINBERG FOR CONGRESS,"{1988,1990}",ANN YARBOROUGH,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,VA,C00226951,H8VA10023,5/2/88,8/4/89,9/7/88
JOHN BISHOP INDEPENDENT FOR US CONGRESS,{1998},JOHN BISHOP,H,House,T,P,Principal campaign committee,,,IND,INDEPENDENT,NM,C00327288,H8NM03055,4/30/97,6/27/97,5/1/97
HELM FOR WYOMING,"{2018,2020}","KORMAN, DAVID",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,WY,C00676973,,4/23/18,7/20/18,4/23/18
SANTAMARIA FOR CONGRESS 2018,"{2018,2020}","MONTGOMERY, THOMAS E MR. III",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,CA,C00664698,H6CA05336,1/3/18,1/3/18,1/3/18
ANNA FOR IOWA,{2018},"PETTERSON, JAY",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,IA,C00636688,H8IA03116,4/4/17,7/28/17,4/4/17
CAMPAIGN COMMITTEE TO ELECT JASON C KING,"{2008,2010,2012,2014,2016,2018}",ANTHONY LISTROM,H,House,A,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,FL,C00446245,H8FL14167,2/27/08,4/26/18,2/27/08
VICKIE BUTCHER FOR CONGRESS,{2008},KINDE DURKEE,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00441055,H8CA52086,11/13/07,10/23/08,11/13/07
ANDERSON FOR CONGRESS,{2010},AARON HALLACY,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,KS,C00464172,H0KS04069,7/17/09,10/21/10,7/17/09
BRENNAN FOR CONGRESS,"{1986,1988,1990}",NANCY RANDALL CLARK,H,House,T,A,Authorized by a candidate,,,DEM,DEMOCRATIC PARTY,ME,C00202309,H6ME01041,2/6/86,3/30/90,1/7/88
LOU STRIEGEL FOR CONGRESS COMMITTEE,"{1982,1984,1986,1988,1990,1992,1994}",MRS MARTHA SWINDLE,H,House,A,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,OK,C00154385,H2OK02018,4/23/82,8/6/93,2/17/84
HAUGHTON FOR CONGRESS,{2010},STUART LONDON,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,PA,C00471151,H0PA13098,11/24/09,7/22/10,4/15/10
MIKE MCCORMICK FOR CONGRESS COMMITTEE,"{1978,1980}",MARGARET ANN BIGGS,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,AZ,C00097188,H8AZ04033,6/8/78,2/14/79,10/17/78
VOTERS FOR DICK MURI,"{2010,2012,2014}","MORSE, COLLEEN",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,WA,C00476176,H0WA09044,2/17/10,7/15/13,4/17/12
THURSTON FOR CONGRESS COMMITTEE,{1998},CONNIE MAY WEBSTER,H,House,T,P,Principal campaign committee,,,,,IA,C00337832,H8IA01078,6/17/98,12/28/98,6/17/98
HOUSE FOR CONGRESS,"{1986,1988,1990,1992,1994,1996}",BARBARA J WIEBE,H,House,A,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,CA,C00195545,H6CA34161,5/22/85,5/15/96,10/14/88
AJA BROWN FOR CONGRESS,"{2018,2020}","CRUMMITT, GARY",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00672436,H8CA44117,3/6/18,4/11/19,3/6/18
GENE SLASON FOR CONGRESS COMMITTEE,"{1992,1994}",JEFFREY J LEVITSKY,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CT,C00250159,H2CT06097,1/15/91,8/27/93,1/15/91
GRISOLIA FOR CONGRESS,"{2008,2010,2012,2014,2016}","GOULD, DAVID",H,House,A,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00435115,H8CA37160,5/17/07,2/11/15,4/21/11
NORMILE ELECTION COMMITTEE,"{1978,1980}",,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,OH,C00094391,H8OH23013,5/4/78,4/24/79,5/19/78
KEVIN HERMENING FOR CONGRESS,"{1986,1988}",DAN O'CONNOR,H,House,T,A,Authorized by a candidate,,,REP,REPUBLICAN PARTY,WI,C00206839,H6WI07074,5/19/86,3/21/88,5/19/86
SUPPORTERS OF PHIL MALOOF,"{1998,2000}",THERESA KEAVENY,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,MN,C00336354,H8NM01158,4/23/98,9/1/00,4/23/98
KNOWLES FOR CONGRESS,"{2012,2014}",ROBERT B CRONE,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,MD,C00510560,H2MD03143,1/26/12,5/20/13,2/21/12
POMBO FOR CONGRESS,"{2010,2012}",RICHARD W POMBO,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,CA,C00473033,H2CA11051,1/5/10,2/2/11,1/5/10
TOM MIMS FOR CONGRESS CAMPAIGN COMMITTEE,"{1992,1994}",SANDY J BELL,H,House,T,P,Principal campaign committee,,,,,FL,C00255612,H2FL10085,10/29/91,4/12/94,7/30/92
COMMITTEE TO ELECT JESSE SCHMIDT,"{2018,2020}","SCHMIDT, JESSE",H,House,Q,P,Principal campaign committee,,,NPA,NO PARTY AFFILIATION,LA,C00686261,H8LA02153,8/27/18,2/19/19,8/27/18
JON POWELL FOR CONGRESS,"{2018,2020}",DOUG BLANCHARD,H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,TX,C00638825,H8TX36016,4/27/17,4/3/19,4/27/17
THORPE FOR CONGRESS,{2004},CHARITA D ALLEN,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,FL,C00398982,H4FL23050,4/7/04,7/27/04,4/7/04
CITIZENS TO ELECT NILES SHERMAN,{1988},NATHANIEL H PHILLIPS,H,House,T,P,Principal campaign committee,,,,,IL,C00223610,H8IL02054,2/26/88,10/21/88,2/26/88
COMMITTEE TO ELECT ROBERT DELLE,{2010},NANCY DELLE,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,MA,C00482752,H0MA03061,5/3/10,12/9/10,6/28/10
NCNEALY FOR CONGRRSS COMMITTEE,"{1990,1992}",IONE M MCNEALY,H,House,T,P,Principal campaign committee,,,,,MI,C00249029,H8MI14043,10/15/90,1/31/91,
COMMITTEE TO ELECT LEYVA FOR U.S.CONGRESS,"{2000,2002,2004,2006,2008,2010,2012,2014,2016}",MARK J LEYVA,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,IN,C00357434,H8IN01096,5/5/00,4/14/16,2/11/16
DOTTY NYGARD FOR CONGRESS,{2018},"DEANE, SHAWNDA",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00638783,H8CA10118,4/27/17,7/23/18,7/12/18
SHIRLEY GOLD FOR CONGRESS,"{1996,1998,2000}",DIANNA MCCOY,H,House,A,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,OR,C00309252,H6OR03072,12/5/95,6/29/00,12/5/95
HARTNETT FOR CONGRESS,"{2000,2002,2004,2006}",MARGARET F ROMERO,H,House,A,P,Principal campaign committee,,,DFL,DEMOCRATIC-FARM-LABOR,MN,C00356766,H0MN04098,4/19/00,5/19/06,3/5/02
APRIL BISHOP CAMPAIGN FOR CONGRESS,"{2000,2002}",APRIL JONES BISHOP,H,House,T,P,Principal campaign committee,,,LIB,LIBERTARIAN PARTY,SC,C00362699,H0SC04216,10/17/00,3/2/01,10/17/00
FRANCO FOR CONGRESS 90',"{1990,1992,1994,1996,1998}",DEAN GITTLESON,H,House,A,A,Authorized by a candidate,,,,,CA,C00240119,H8CA29027,12/15/89,5/26/98,2/16/93
BIDELMAN FOR CONGRESS,{1988},PATRICK K BIDELMAN,H,House,T,P,Principal campaign committee,,,,,FL,C00226894,H8FL13086,5/2/88,1/27/89,10/18/88
PORTER FOR CONGRESS,"{2012,2014,2016,2018}",RAYA EVASHKO,H,House,A,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,MA,C00518399,H2MA04099,4/6/12,4/26/18,4/6/12
BORROR FOR CONGRESS INC,"{2010,2012}",GRETCHEN K GUTMAN,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,IN,C00483834,H0IN03172,5/25/10,4/14/11,5/25/10
ATTWOOD FOR CONGRESS,"{2010,2012,2014,2016,2018}",ROSS BUTLER,H,House,A,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00461947,H0CA10131,5/13/09,4/26/18,5/13/09
JOHN THOMAS FLYNN FOR CONGRESS,{2006},BETTY PRESLEY,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,CA,C00409243,H6CA05187,2/1/05,4/12/05,2/1/05
FRIENDS OF RAY BECK FOR CONGRESS,{1980},DONALD R HULL,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,MD,C00114264,H0MD06017,10/5/79,9/22/81,10/17/79
CONSERVATIVE ALTERNATIVE/WENTLING FOR CONGRESS,"{1994,1996}",JOHN C WENTLING,H,House,A,P,Principal campaign committee,,,UNK,UNKNOWN,AZ,C00293944,H4AZ04065,5/13/94,9/26/94,9/26/94
FRIENDS TO ELECT JAMES LOVE JACKSON,"{1990,1992,1994,1996}",LORETTA BROWN,H,House,A,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,PA,C00248633,H0PA01242,9/22/90,5/15/96,3/3/94
CHRISTOPHER MARTIAN FOR US HOUSE,{2018},"MARTIAN, CHRISTOPHER JAMES",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,SD,C00637140,H8SD01071,4/8/17,4/20/18,4/9/17
FRIENDS OF FRANK CONA,"{2006,2008,2010,2012,2014,2016,2018}",DEBORAH L CONA,H,House,A,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,MI,C00421586,H6MI00194,3/15/06,7/26/17,3/15/06
LEE COLE FOR CONGRESS,{1996},CONNIE R LACKEY,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,TX,C00323170,H6TX03093,9/20/96,1/10/97,10/23/96
JIM STONE FOR CONGRESS,"{1990,1992}",DARRELL BREYFOGLE,H,House,T,P,Principal campaign committee,,,DFL,DEMOCRATIC-FARM-LABOR,MN,C00247304,H0MN02027,7/26/90,9/18/92,1/21/92
ALINA LYDIA FONTEBOA,{2000},JOSE DAVID GARCES,H,House,T,P,Principal campaign committee,,,,,NJ,C00360404,H0NJ13129,8/1/00,12/29/00,8/1/00
COVARRUBIAS FOR CONGRESS,"{1988,1990,1992,1994,1996}",RONALD C KALVIN,H,House,A,P,Principal campaign committee,,,,,CA,C00227488,H8CA01083,5/13/88,7/21/88,5/13/88
VOTE KURT ELSASSER FOR CONGRESS,{2018},"KENDALL, JACQUELINE NICOLE",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,MD,C00668103,H8MD06242,1/31/18,6/27/18,1/31/18
COMMITTEE TO ELECT PRINCELLA HOWARD DIXON TO CONGRESS,"{1986,1988,1990,1992,1994,1996}",ELIZABETH WILLIAMS,H,House,A,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,GA,C00208199,H6GA05266,6/26/86,1/3/95,6/26/86
"COMMITTEE TO ELECT ""BULL"" DURHAM","{1996,1998}",MARY LOU DURHAM,H,House,A,P,Principal campaign committee,,,IND,INDEPENDENT,TN,C00313742,H6TN01149,2/26/96,9/11/97,2/26/96
BATAGLIA FOR CONGRESS,"{2004,2006}",Donato Bataglia,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,MN,C00397273,H4MN04074,3/8/04,5/10/05,3/15/05
COMMITTEE TO ELECT DR STEPHEN SMITH,"{1996,1998}",TIMOTHY P CONLON,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,TN,C00315044,H6TN02105,3/11/96,2/13/98,3/11/96
CLAYTON THIBODEAU FOR CONGRESS,"{2012,2014}",CLAYTON THIBODEAU,H,House,A,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,CA,C00515924,H0CA45061,3/19/12,4/8/13,4/13/12
FRIENDS OF BRADY WALKINSHAW,"{2016,2018,2020}",JAY PETTERSON,H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,WA,C00597732,H6WA07425,12/15/15,4/12/19,12/15/15
KOVALESKI FOR CONGRESS,{1992},RONALD M COFIELD,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,FL,C00256636,H2FL05069,12/3/91,6/18/93,5/6/92
DAVE THOMAS FOR CONGRESS,"{1992,1994,1996}",MARJORIE MEISER,H,House,T,P,Principal campaign committee,,,,,FL,C00261966,H2FL00219,3/3/92,3/10/95,5/6/92
MOORE FOR CONGRESS,{2004},SCOTT E KOONTZ,H,House,T,P,Principal campaign committee,,,IND,INDEPENDENT,PA,C00397927,H4PA12035,3/4/04,10/26/04,3/4/04
COMMITTEE TO ELECT TOM SIMPSON,"{1992,1994,1996,1998}",SHERYL ROBITSCHEK,H,House,A,P,Principal campaign committee,,,,,GA,C00259762,H2GA10059,2/7/92,9/11/97,2/7/92
TIMOTHY ROBERTS FOR US REPRESENTATIVE,"{2016,2018}","ROBERTS, TIMOTHY",H,House,A,P,Principal campaign committee,,,IND,INDEPENDENT,TN,C00586438,H6TN06130,9/9/15,4/26/18,9/9/15
HOWLETT FOR CONGRESS COMMITTEE,"{1988,1990,1992,1994}",ALAN H GARFIELD,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,IL,C00221309,H8IL07053,1/19/88,10/28/94,4/19/89
RYAN KRAUSE FOR CONGRESS CAMPAIGN COMMITTEE,"{2018,2020}","KRAUSE, DEBORAH KATHRYN",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,TX,C00662841,H8TX21281,12/9/17,2/4/19,12/9/17
TIM WALZ FOR US CONGRESS,"{2006,2008,2010,2012,2014,2016,2018,2020}","MASCHKA, GERALD",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,MN,C00409409,H6MN01174,2/10/05,2/8/19,10/15/18
FRIENDS OF KEN DIAMONDSTONE,"{1998,2000}",JOSEPH KOPITZ,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,NY,C00337634,H8NY10057,6/10/98,12/8/00,6/10/98
COMMITTEE TO ELECT JOHN RUSSELL TO CONGRESS,"{2008,2010,2012}",JOHN RUSSELL,H,House,T,A,Authorized by a candidate,,,DEM,DEMOCRATIC PARTY,FL,C00449678,H4FL05032,4/30/08,1/23/09,4/30/08
MOENCH FOR CONGRESS,"{1984,1986,1988,1990,1992}",MEL MOENCH,H,House,A,P,Principal campaign committee,,,DFL,DEMOCRATIC-FARM-LABOR,MN,C00189076,H4MN02029,8/14/84,3/25/92,8/23/84
BEELER4CONGRESS,"{2018,2020}","PERRY, TOM",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,WA,C00680264,H8WA01077,6/5/18,4/16/19,4/16/19
BURKE FOR CONGRESS COMMITTEE,"{1980,1982}",EDWIN LONDON,H,House,T,P,Principal campaign committee,,,,,PA,C00129031,H0PA01200,5/27/80,11/30/81,5/27/80
RAPHAEL ESPARRA FOR CONGRESS IN '84,"{1984,1986,1988,1990,1992,1994}",WILFRED RENTA,H,House,A,P,Principal campaign committee,,,,,NY,C00179176,H4NY00016,3/5/84,11/17/93,3/28/84
COMMITTEE TO ELECT PATRICK PIKUS FOR US CONGRESS,"{2018,2020}","WEIRICH, BRENTON",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,OH,C00668525,H8OH07131,2/3/18,4/10/19,2/3/18
REPUBLICANS INSPIRING SUCCESS & EMPOWERMENT PROJECT (RISE PROJECT),"{2014,2016,2018,2020}","CARLIN, ROBERT F.",H,House,Q,J,Joint fundraising committee,,,,,VA,C00567677,"H0NY19139,H2AZ08102,H2UT04023,H4CA45097,H4IL11195,H4NY21079,H4VA10089,H8IA02043",8/25/14,4/15/19,9/19/18
JUDY GRAMMER FOR CONGRESS COMMITTEE,"{1992,1994,1996}",STEVE KEOWN CPA,H,House,T,P,Principal campaign committee,,,,,GA,C00267674,H2GA09051,5/12/92,4/12/96,4/11/94
MALCOLM E. WHITTAKER ELECTION COMMITTEE,"{2018,2020}","LIBERTY, JOHN S. MR.",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,TX,C00657049,H8TX02109,10/3/17,2/4/19,10/3/17
LANCE ENDERLE FOR CONGRESS,"{2012,2014,2016}",LANCE ENDERLE,H,House,A,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,MI,C00501734,H0MI08091,4/13/11,11/12/15,9/6/11
BILL HAAS FOR CONGRESS,{2010},FRANCENE LEMONDS,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,MO,C00486654,H8MO02158,7/27/10,1/7/11,7/27/10
JACK ULDRICH FOR CONGRESS COMMITTEE,"{1996,1998,2000}",CYNTHIA ANN PAGE,H,House,A,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,MN,C00311225,H6MN05134,1/22/96,6/29/00,1/22/96
JAY BRADFORD CONGRESSIONAL COMMITTEE,"{1994,1996,1998}",CREED SPANN,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,AR,C00285585,H4AR04022,11/18/93,10/31/97,3/10/94
CARLSON FOR CONGRESS COMMITTEE,{1984},GERALD R CARLSON,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,MI,C00195529,H0MI15021,5/22/85,8/20/85,8/20/85
COLORADANS FOR NICHOL,"{1998,2000}",RUTH M WRIGHT,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CO,C00329011,H8CO02038,7/28/97,7/9/99,7/28/97
ERIC STANTON FOR MAINE,"{2018,2020}","VINCENT, RONALD",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,ME,C00638270,H8ME01195,4/22/17,4/22/17,4/22/17
"5STAR GROUP, LLC","{2016,2018}","WEDGWOOD, JACK",H,House,A,P,Principal campaign committee,,,NON,NON PARTISAN,CA,C00579979,H6IL18146,6/24/15,4/26/18,6/24/15
GOLD FOR CONGRESS,"{2000,2002}",CAROL BRYAN,H,House,A,P,Principal campaign committee,,,,,CT,C00360396,H0CT03098,7/25/00,6/18/02,7/25/00
BRENHOLT FOR CONGRESS CAMPAIGN,"{1996,1998,2000}",MARCUS L. FALK,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,WI,C00316026,H6WI09088,3/26/96,1/14/00,3/26/96
FAMILIES AND TAXPAYERS FOR BOB KILBANKS,"{1998,2000,2002}",DAVID PRICE,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,PA,C00329508,H6PA15108,8/29/97,9/14/01,9/13/99
PEOPLE FOR DICKERSON,"{1976,1978,1980}",MRS. JOI ANA DICKERSON,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,CA,C00053942,H6CA21036,4/6/76,12/20/79,4/6/76
JOHN ANZALONE FOR CONGRESS,"{2018,2020}","MILLER, JOSEPH TODD",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,NV,C00663930,H8NV04034,12/22/17,4/14/19,12/22/17
CLINT HYLTON FOR US CONGRESS,"{2010,2012}",AMANDA MCBEE,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,MO,C00480855,H0MO06149,4/13/10,11/3/11,5/17/10
NEWELL FOR CONGRESS,{2010},JANE LEIDERMAN,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00460170,H0CA33083,3/27/09,10/26/10,3/27/09
DAVID WOODS FOR CONGRESS,{2008},PATRICIA DWYER,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,AL,C00443044,H4AL02048,1/4/08,12/2/08,1/4/08
KEADLE FOR CONGRESS 2000,"{2000,2002,2004}",JAMES L BOGER,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,NC,C00347484,H8NC12010,7/30/99,1/31/03,7/30/99
DENNIS DOLLAR FOR CONGRESS COMMITTEE,"{1996,1998,2000,2002}",JOHN S HEATH,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,MS,C00304147,H6MS05066,7/11/95,4/13/01,7/11/95
FRIENDS FOR MCGUIRE,"{1994,1996}",LINDA (LYN) HARRIS,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,IA,C00287342,H4IA05136,1/10/94,12/1/95,1/10/94
DENNIS AVERY FOR CONGRESS COMMITTEE,"{1982,1984}",JACK E CORN JR,H,House,T,P,Principal campaign committee,,,,,IN,C00147942,H2IN08011,12/18/81,4/15/82,12/18/81
CRAIG DUEHRING FOR CONGRESS,"{1996,1998,2000}","Duehring, Terri Mrs.",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,MN,C00315457,H6MN02099,3/14/96,12/15/00,6/20/00
DR. SHAH FOR CONGRESS,{2018},"JARIWALA, ANJALI",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,IL,C00653162,H8IL10131,8/15/17,4/23/18,9/27/17
DOUG MATHESON OF MI FORETH CONGRESS,"{1992,1994}",DOUGLASS LEE MATHESON,H,House,T,P,Principal campaign committee,,,,,WA,C00265918,H2WA05030,4/22/92,4/30/93,11/13/92
SEAN HARPER FOR CONGRESS,{2018},"SHIVERS, JEFF",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,FL,C00677583,H8FL15263,4/30/18,11/5/18,4/30/18
MCCONNELL FOR CONGRESS,"{2002,2004}",KIRK RUSSELL HUNT,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CA,C00371922,H2CA08081,1/18/02,4/4/03,3/24/03
KELLY FOR U S CONGRESS,"{1992,1994}",ROSEMARIE E AQUILINA-BARONE,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,MI,C00270231,H2MI14020,6/9/92,6/17/94,6/9/92
JAYSON H REEVES AND THE HURN FOUNDATION FOR THE UNITED STATES CONGRESS,"{2006,2008}",JAYSON REEVES,H,House,A,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,IN,C00420851,H6IN01157,3/8/06,10/19/07,3/8/06
KARL KRUEGER FOR US CONGRESS,"{1988,1990}",TODD A WEISSER,H,House,T,P,Principal campaign committee,,,,,TX,C00232470,H6WI03073,9/22/88,5/11/90,9/22/88
ANDREW ELDRIDGE FOR CONGRESS,"{2018,2020}","ELDRIDGE, ANDREW BLAINE",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,MI,C00665661,,1/11/18,1/11/18,1/11/18
WAYNE IVERSON FOR CONGRESS,"{2012,2014}",JANET LYNN IVERSON,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,CA,C00502070,H2CA52071,9/12/11,5/2/13,10/11/11
RYON FOR CONGRESS,{2010},DAVID RYON,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,OH,C00460105,H8OH12081,3/24/09,1/6/11,4/8/10
CHET BEILER FOR CONGRESS,"{2018,2020}","CURTIS, ELIZABETH",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,PA,C00675157,H8PA11111,4/2/18,4/8/19,4/2/18
MIKE GOOSSEN FOR CONGRESS,{2014},MIKE GOOSSEN,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,CA,C00550160,H4CA16114,10/17/13,1/30/14,10/17/13
COMMITTEE TO ELECT DAN GREEN TO THE U S CONGRESS,"{1990,1992}",ALBERT EDWARD EATON,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,NC,C00245639,H0NC10128,5/29/90,10/18/91,5/29/90
TOM VALLELY FOR CONGRESS COMMITTEE,"{1986,1988,1990,1992,1994,1996}",ROBERT E HOLLAND ESQ,H,House,A,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,MA,C00194043,H6MA08018,2/7/85,1/3/95,8/22/88
COMMITTEE TO ELECT JIM HUFF,{1984},DONNA LYNN HUFF,H,House,A,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,WA,C00190330,H4WA06026,9/13/84,9/13/84,9/13/84
GARRETT PAULUS FOR CONGRESS,{1994},P CURTIS BLACK,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,NM,C00294413,H4NM03054,5/20/94,3/3/95,5/20/94
JACK MARIN FOR CONGRESS,"{1982,1984,1986,1988,1990,1992,1994}",MARK L STEPHENS,H,House,A,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,NC,C00156729,H2NC02063,5/24/82,8/6/93,2/4/85
FRIENDS OF JOHN A O'TOOLE,"{1996,1998}",JOHN A O'TOOLE,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CT,C00312892,H6CT05090,2/13/96,3/13/98,10/7/97
