"","committee_name","committee_id","candidate_name","candidate_id","party","state","district","region","incumbent_challenge","hold_flip","win_per","lose_per","delta","total","advertise","poll","research","consulting","fundraise","pay","materials","travel","event","mail","radio","television","newspaper","smedia","website"
"96","KENNY MARCHANT FOR CONGRESS","C00393348","MARCHANT, KENNY E MR.","H4TX24094","REP","TX",24,"south","I","GOP Hold",50.6,47.5,"3.1",1207612.47,NA,NA,NA,15692.98,149550.85,4504.74,NA,2941.32,6195.62,299770.88,NA,NA,NA,NA,467.64
"97","MCHENRY FOR CONGRESS","C00393629","MCHENRY, PATRICK TIMOTHY","H4NC10047","REP","NC",10,"south","I","GOP Hold",59.3,40.7,"18.6",4283331.05,2500,30920,21918.24,587050.91,564877.82,175825.29,NA,213979.57,150398.41,206132.89,NA,NA,NA,NA,NA
"98","SCALISE FOR CONGRESS","C00394957","SCALISE, STEVE MR","H0LA01087","REP","LA",1,"south","I","GOP Hold",71.5,16.4,"55.1",13335393.47,42255.88,NA,35500,6468969.39,125565.67,46986.21,NA,250177.88,6072.7,61510.36,NA,NA,NA,NA,NA
"99","JEFF FORTENBERRY FOR UNITED STATES CONGRESS","C00395467","FORTENBERRY, JEFFREY L. HONORABLE","H4NE01064","REP","NE",1,"midwest","I","GOP Hold",60.4,39.6,"20.8",833607.58,NA,NA,NA,1200,61644.82,73314.1,NA,NA,5800.56,105677.06,NA,NA,NA,NA,1986.87
"100","CLEAVER FOR CONGRESS","C00395848","CLEAVER, EMANUEL II","H4MO05234","DEM","MO",5,"midwest","I","Dem Hold",61.7,35.6,"26.1",1153130.04,3670,NA,3500,NA,96650,NA,NA,490.71,486558.85,304656.32,NA,NA,NA,NA,NA
"101","MOORE FOR CONGRESS","C00397505","MOORE, GWEN S","H4WI04183","DEM","WI",4,"midwest","I","Dem Hold",75.7,21.7,"54",1079650.14,34591.41,NA,1000,189783.83,155255,169975.42,NA,72453.92,52580.54,47619.18,NA,NA,NA,NA,2265
"102","MCNERNEY FOR CONGRESS","C00398644","MCNERNEY, GERALD MARK","H4CA11081","DEM","CA",9,"west","I","Dem Hold",56.5,43.5,"13",1279345.37,18873.23,17700,NA,152931.32,116331.32,360406.6,NA,33887.64,13002.95,6210.48,NA,NA,NA,NA,4305.71
"103","BRIAN HIGGINS FOR CONGRESS","C00401034","HIGGINS, BRIAN","H4NY27076","DEM","NY",26,"northeast","I","Dem Hold",73.3,26.7,"46.6",1002836.35,2997.4,NA,NA,191548.62,214466,904.95,NA,574.86,23858.96,6647.53,NA,NA,NA,NA,35.34
"104","BUTTERFIELD FOR CONGRESS","C00401190","BUTTERFIELD, G. K.","H4NC01046","DEM","NC",1,"south","I","Dem Hold",69.8,30.2,"39.6",880822.58,1400,NA,NA,30420,135339.63,NA,NA,14655.68,9053,2121.67,NA,NA,NA,NA,298
"105","DAN LIPINSKI FOR CONGRESS","C00405431","LIPINSKI, DANIEL WILLIAM WILLIAM","H4IL03077","DEM","IL",3,"midwest","I","Dem Hold",73.8,26.2,"47.6",2520247.39,449548.52,47000,NA,70740.22,155077.74,65176.44,NA,3503.48,1810.94,447461.05,14392.71,207814.82,599.4,36235.03,8.99
"106","BILIRAKIS FOR CONGRESS","C00408534","BILIRAKIS, GUS M","H6FL09070","REP","FL",12,"south","I","GOP Hold",58.1,39.7,"18.4",2203632.21,611771.15,NA,6000,94901.52,220573.91,48665.02,NA,18968.93,183887.35,8221.54,NA,569326,NA,NA,889.62
"107","MATSUI FOR CONGRESS","C00409219","MATSUI, DORIS","H6CA05195","DEM","CA",6,"west","I","Dem Hold",80.4,19.6,"60.8",1204426.69,2307,NA,NA,324124.85,275603.96,99700,NA,2281.05,84854.68,11950.9,NA,NA,NA,NA,21693.79
"108","COURTNEY FOR CONGRESS","C00410233","COURTNEY, JOSEPH D","H2CT02112","DEM","CT",2,"northeast","I","Dem Hold",62.1,35.5,"26.6",1166965.27,10577.07,19600,NA,86250,88200,247751.11,NA,26805.8,38431.29,12164.18,NA,NA,NA,NA,974.44
"109","PERLMUTTER FOR CONGRESS","C00410639","PERLMUTTER, EDWIN G","H6CO07023","DEM","CO",7,"west","I","Dem Hold",60.4,35.4,"25",1865772.63,12121.53,NA,22500,20000,35661.31,594141.03,2436.17,NA,65107.13,15722.18,NA,NA,NA,NA,750
"110","SIRES FOR CONGRESS","C00410753","SIRES, ALBIO","H6NJ13191","DEM","NJ",8,"northeast","I","Dem Hold",78.1,18.7,"59.4",582863.9,NA,NA,NA,85000,100348.77,11250,NA,4679.09,9516.02,4651.36,NA,NA,NA,NA,NA
"111","CASTOR FOR CONGRESS","C00410761","CASTOR, KATHY","H6FL11126","DEM","FL",14,"south","I","Dem Hold",100,0,"100",693687.28,10000,NA,NA,56000,93110.58,79797.01,NA,11283.34,39688.68,4683.3,NA,NA,NA,NA,25650
"112","VERN BUCHANAN FOR CONGRESS","C00412759","BUCHANAN, VERNON","H6FL13148","REP","FL",16,"south","I","GOP Hold",54.6,45.4,"9.2",4438324.84,69129.82,155431.34,31559.4,327355.5,128331.33,220263.57,1315.52,4927.06,76467.09,2979.92,NA,NA,12355,NA,4453.99
"113","ADRIAN SMITH FOR CONGRESS","C00412890","SMITH, ADRIAN","H6NE03115","REP","NE",3,"midwest","I","GOP Hold",76.7,23.3,"53.4",1738342.49,286635.1,25000,NA,102258,203536.35,49139.33,1349.63,9498.35,3330.65,106695.26,NA,NA,NA,NA,NA
"114","WELCH FOR CONGRESS","C00413179","WELCH, PETER","H6VT00160","DEM","VT",0,"northeast","I","Dem Hold",69.2,26,"43.2",840824.04,NA,3389.89,NA,96226,84000,169385.25,NA,NA,10575.06,4800.11,NA,NA,NA,NA,16150
"115","LOEBSACK FOR CONGRESS","C00414318","LOEBSACK, DAVID WAYNE","H6IA02146","DEM","IA",2,"midwest","I","Dem Hold",54.8,42.6,"12.2",2351631.56,34090,3500,38600,152000,96863.63,187797.25,NA,5301.42,24076.45,28412.92,NA,NA,NA,NA,1400
"116","FRIENDS OF JOHN SARBANES","C00415182","SARBANES, JOHN P. MR.","H6MD03292","DEM","MD",3,"south","I","Dem Hold",69.2,28.3,"40.9",791730.6,NA,NA,NA,50439.74,1589.75,104966.4,NA,7172.21,11740.67,3278.98,NA,NA,NA,NA,1619.41
"117","CLARKE FOR CONGRESS","C00415331","CLARKE, YVETTE","H4NY11138","DEM","NY",9,"northeast","I","Dem Hold",89.3,10.3,"79",1106735.55,3510,1971.2,NA,332805.37,264703.42,NA,NA,13924.76,28749.32,42042.07,NA,NA,NA,NA,NA
"118","JIM JORDAN FOR CONGRESS","C00416594","JORDAN, JAMES D.","H6OH04082","REP","OH",4,"midwest","I","GOP Hold",65.3,34.7,"30.6",1922809.56,1368287.67,NA,NA,464647.67,192905.51,27855.31,NA,8254.48,17010.06,188.63,NA,684812.67,NA,NA,2440
"119","COMMITTEE TO RE-ELECT HENRY HANK JOHNSON","C00418293","JOHNSON, HENRY C. 'HANK","H6GA04129","DEM","GA",4,"south","I","Dem Hold",78.8,21.2,"57.6",488053.08,10966.99,NA,NA,151295.49,126092.57,NA,NA,NA,64383.2,66.7,NA,NA,NA,NA,4150.74
"120","YARMUTH FOR CONGRESS","C00419630","YARMUTH, JOHN","H6KY03124","DEM","KY",3,"south","I","Dem Hold",62.1,36.6,"25.5",1160806.92,23939.43,38987.53,NA,182390.24,181834.67,113881.53,5884.91,175.53,32771.13,4853.07,NA,NA,NA,NA,NA
"121","LAMBORN FOR CONGRESS","C00420745","LAMBORN, DOUGLAS","H6CO05159","REP","CO",5,"west","I","GOP Hold",57,39.3,"17.7",825649.45,NA,28900,NA,103949.46,71825.36,NA,NA,23432.92,10692.61,71964.59,NA,NA,NA,NA,NA
"122","KEVIN MCCARTHY FOR CONGRESS","C00420935","MCCARTHY, KEVIN","H6CA22125","REP","CA",23,"west","I","GOP Hold",63.7,36.3,"27.4",10143325.47,960315.87,165500,NA,939252.4,409074,534238.29,NA,214503,25673.12,34931.83,NA,NA,NA,NA,NA
"123","STEVE COHEN FOR CONGRESS","C00422980","COHEN, STEPHEN IRA","H6TN09068","DEM","TN",9,"south","I","Dem Hold",80,19.2,"60.8",474605.73,107597,NA,NA,56000,106666.12,400,10422.78,NA,8206.91,33943.82,35399,35399,400,NA,NA
"124","FRIENDS FOR GREGORY MEEKS","C00430991","MEEKS, GREGORY W.","H8NY06048","DEM","NY",5,"northeast","I","Dem Hold",100,0,"100",1337463.97,65250,NA,NA,324844.9,253872.34,NA,NA,59924.27,30810.78,904.3,NA,NA,NA,NA,NA
"125","PINGREE FOR CONGRESS","C00433391","PINGREE, CHELLIE M","H8ME01120","DEM","ME",1,"northeast","I","Dem Hold",58.8,32.4,"26.4",1083749.23,36937.98,NA,71305.23,139620.15,77334.65,42457.75,NA,1023.14,1683.9,28949.45,NA,NA,NA,NA,17262.5
"126","DUNCAN D. HUNTER FOR CONGRESS","C00433524","HUNTER, DUNCAN D","H8CA52052","REP","CA",50,"west","I","GOP Hold",51.7,48.3,"3.4",1982845.45,111550.55,NA,37000,550989.4,185994.98,NA,NA,27299.5,22470.02,131654.28,NA,47776.5,NA,NA,NA
"127","HIMES FOR CONGRESS","C00434191","HIMES, JIM","H8CT04172","DEM","CT",4,"northeast","I","Dem Hold",60.9,39.1,"21.8",1928548.67,20350,NA,37500,332498.54,138000,152935.01,30754.62,5858.99,88206.38,2549.35,NA,NA,NA,NA,232.24
"128","BILL FOSTER FOR CONGRESS","C00435099","FOSTER, G. WILLIAM (BILL)","H8IL14067","DEM","IL",11,"midwest","I","Dem Hold",63.8,36.2,"27.6",1757775.06,2050,31500,NA,171664.83,309859.6,392520.4,NA,2948.82,7908.74,26014,NA,NA,NA,NA,2740
"129","ANDY HARRIS FOR CONGRESS","C00435974","HARRIS, ANDREW P","H8MD01094","REP","MD",1,"south","I","GOP Hold",60,38.1,"21.9",2080014.67,22943.48,47274,450,239314.87,180712.53,NA,NA,8542.49,54652.98,407572.85,NA,NA,NA,NA,NA
"130","OLSON FOR CONGRESS COMMITTEE","C00437913","OLSON, PETER G.","H8TX22107","REP","TX",22,"south","I","GOP Hold",51.4,46.5,"4.9",2146751.64,28186.9,NA,13500,752193.07,273906.42,3903.59,207.83,12887.42,70720.89,293417.31,NA,NA,NA,114190.87,28606.54
"131","LATTA FOR CONGRESS","C00438697","LATTA, ROBERT EDWARD","H8OH05036","REP","OH",5,"midwest","I","GOP Hold",62.3,35.1,"27.2",1812502.5,6141,26139,NA,424955.75,407591.75,49522.99,NA,755.52,5480,129251.52,2530.5,NA,1080,NA,360
"132","DAVID SCHWEIKERT FOR CONGRESS","C00440727","SCHWEIKERT, DAVID S.","H4AZ06045","REP","AZ",6,"west","I","GOP Hold",55.2,44.8,"10.4",132918.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","ROB WITTMAN FOR CONGRESS","C00441014","WITTMAN, ROBERT J MR.","H8VA01147","REP","VA",1,"south","I","GOP Hold",55.2,44.8,"10.4",2195531.86,691876.66,44250,34768.16,410781.27,240118.57,436900.98,NA,7124.92,55247.48,80624.2,1646,259269.81,24217.46,NA,1403.82
"134","STIVERS FOR CONGRESS","C00441352","STIVERS, STEVE MR.","H8OH15076","REP","OH",15,"midwest","I","GOP Hold",58.3,39.7,"18.6",6035248.65,260749.24,184987,7500,292235.03,269622.9,1439167.37,874.04,1592.72,62134.18,7140,NA,NA,NA,NA,1445
"135","ANDRE CARSON FOR CONGRESS","C00442921","CARSON, ANDRE","H8IN07184","DEM","IN",7,"midwest","I","Dem Hold",64.9,35.1,"29.8",1133547.21,8093.66,16125,NA,115250,111818,209818.01,NA,52541.73,39175.41,3285.2,4999.5,NA,2736.9,NA,2838.56
"136","JACKIE SPEIER FOR CONGRESS","C00443705","SPEIER, JACKIE","H8CA12171","DEM","CA",14,"west","I","Dem Hold",79.2,20.8,"58.4",1163419.9,1880.86,NA,NA,34500,103677.91,NA,NA,3875.8,54656.59,5532.07,NA,NA,NA,NA,2879.36
"137","CITIZENS TO ELECT PHIL ROE TO CONGRESS","C00444471","ROE, DAVID PHILLIP DR.","H6TN01388","REP","TN",1,"south","I","GOP Hold",77.1,21,"56.1",609014.52,249751.08,26000,NA,104382.31,84146.12,48154.86,NA,NA,1722.34,48285.13,16381.2,103541.7,14005.28,13579.24,NA
"138","FRIENDS OF GLENN THOMPSON","C00444620","THOMPSON, GLENN","H8PA05071","REP","PA",15,"northeast","I","GOP Hold",67.8,32.2,"35.6",1433599.45,494822.32,15966,15966,NA,153175.34,424799.78,NA,42713.42,162570.15,14214.47,NA,NA,NA,32030.26,NA
"139","FRIENDS OF BILL POSEY","C00444968","POSEY, BILL","H8FL15107","REP","FL",8,"south","I","GOP Hold",60.5,39.5,"21",1186703.13,13513,NA,24650,73570.67,57114.1,104180.13,NA,NA,17686.02,266233.92,NA,NA,NA,NA,NA
"140","GUTHRIE FOR CONGRESS","C00445023","GUTHRIE, S. BRETT HON.","H8KY02031","REP","KY",2,"south","I","GOP Hold",66.7,31.1,"35.6",1759700.65,92956.42,NA,NA,628631.78,440528.12,NA,NA,378.21,475855.15,30882.28,51480.58,NA,32475.84,433.34,NA
"141","CONNOLLY FOR CONGRESS","C00445452","CONNOLLY, GERALD EDWARD","H8VA11062","DEM","VA",11,"south","I","Dem Hold",71.2,27,"44.2",2019864.54,309185.03,36109.76,NA,102000,94875.17,235488.17,3067.42,NA,178505.64,48050.07,NA,249500,900,NA,4000
"142","MCCLINTOCK FOR CONGRESS","C00446815","MCCLINTOCK, THOMAS","H8CA04152","REP","CA",4,"west","I","GOP Hold",54.1,45.9,"8.2",1805607.44,328521.69,68565,550,52445.66,58142.58,213086.6,NA,3317.74,25377.36,11460.56,NA,NA,NA,NA,886.8
"143","KURT SCHRADER FOR CONGRESS","C00446906","SCHRADER, KURT","H8OR05107","DEM","OR",5,"west","I","Dem Hold",55.1,41.9,"13.2",970256.81,50000,NA,NA,94350,148362.4,162779.49,NA,NA,117969.74,55425.79,NA,NA,NA,NA,NA
"144","PAUL TONKO FOR CONGRESS","C00450049","TONKO, PAUL DAVID","H8NY21203","DEM","NY",20,"northeast","I","Dem Hold",66.5,33.5,"33",1235354.68,170,25000,NA,182050,133750,100484.09,NA,20426.25,44372.36,32840.19,NA,NA,NA,NA,2500
"145","RICHMOND FOR CONGRESS","C00451336","RICHMOND, CEDRIC L.","H8LA02054","DEM","LA",2,"south","I","Dem Hold",80.6,0,"80.6",2001744.7,41158,8721.98,NA,84729,155844.06,20402.66,NA,106640.95,43074.05,951.67,20170,1900,NA,1500,720
"146","MARCIA FUDGE FOR CONGRESS","C00454694","FUDGE, MARCIA L.","H8OH11141","DEM","OH",11,"midwest","I","Dem Hold",82.2,17.8,"64.4",718608.3,250,NA,NA,84000,160652.05,35599.18,414.59,3677.18,3206,19370.81,NA,NA,NA,NA,2000
"147","QUIGLEY FOR CONGRESS","C00457556","QUIGLEY, MIKE","H0IL05096","DEM","IL",5,"midwest","I","Dem Hold",76.7,23.3,"53.4",1242740.7,308381.8,27000,NA,414377.75,429850,NA,NA,1382.12,79196.38,126281.98,NA,302923,NA,NA,41.34
"148","JUDY CHU FOR CONGRESS","C00458125","CHU, JUDY","H0CA32101","DEM","CA",27,"west","I","Dem Hold",79.2,20.8,"58.4",1054816.93,NA,NA,NA,NA,153350,NA,NA,NA,7199.34,39288.55,NA,NA,NA,NA,NA
"149","BLAINE FOR CONGRESS","C00458679","LUETKEMEYER, W BLAINE","H8MO09153","REP","MO",3,"midwest","I","GOP Hold",65.1,32.8,"32.3",2377118.01,NA,NA,NA,314775.14,223705.98,NA,NA,32472.07,237589.11,1140.6,NA,NA,NA,NA,NA
"150","KINZINGER FOR CONGRESS","C00458877","KINZINGER, ADAM","H0IL11052","REP","IL",16,"midwest","I","GOP Hold",59.1,40.9,"18.2",2505787.82,15312.03,159478.11,10000,435827.78,312764.73,51750.8,NA,10574.47,221160.12,21154.9,NA,NA,NA,NA,2497.95
"151","TERRI SEWELL FOR CONGRESS","C00458976","SEWELL, TERRI A.","H0AL07086","DEM","AL",7,"south","I","Dem Hold",97.8,NA,"97.8",1459850.35,391.64,32350,NA,88500,274111.89,119750.57,517.17,114033.29,82026.5,1983.04,NA,391.64,NA,7500,13755.05
"152","DELBENE FOR CONGRESS","C00459099","DELBENE, SUZAN K","H0WA08046","DEM","WA",1,"west","I","Dem Hold",59.3,40.7,"18.6",1555155.84,266792.3,31750,NA,402486.04,306365,52390.37,NA,5975,140028.98,10376.39,NA,74970,NA,NA,NA
"153","HUIZENGA FOR CONGRESS","C00459297","HUIZENGA, WILLIAM P","H0MI02094","REP","MI",2,"midwest","I","GOP Hold",55.3,43,"12.3",2369185.38,62121.72,48915.75,10143.82,628659.54,287266.84,4260.6,NA,50871.47,210473.19,137938.15,NA,NA,702,NA,NA
"154","FREDERICA S. WILSON FOR CONGRESS","C00460055","WILSON, FREDERICA S.","H0FL17068","DEM","FL",24,"south","I","Dem Hold",100,0,"100",337721.64,NA,NA,NA,NA,92813.94,NA,NA,445.96,12871.88,NA,NA,NA,NA,NA,600
"155","BILLY LONG FOR CONGRESS","C00460063","LONG, BILLY MR.","H0MO07113","REP","MO",7,"midwest","I","GOP Hold",66.2,30.1,"36.1",1599518.14,9965.86,NA,NA,223823.13,375070.38,235023.8,1889.36,NA,164247.21,16293.7,339.06,NA,NA,7576.8,728
"156","AL LAWSON FOR CONGRESS","C00460261","LAWSON, ALFRED JR","H0FL02086","DEM","FL",5,"south","I","Dem Hold",66.8,33.2,"33.6",787928.84,107945.38,NA,NA,199624.51,128819.7,NA,NA,13704.9,3671.18,8250.28,40500,400,NA,NA,NA
"157","JEFF DUNCAN FOR CONGRESS","C00460550","DUNCAN, JEFFREY D MR.","H0SC03077","REP","SC",3,"south","I","GOP Hold",67.8,31,"36.8",715794.21,33803.44,NA,NA,226963.25,181531.95,NA,NA,31996.28,51423.06,27426.43,5901,NA,NA,NA,NA
"158","BERA FOR CONGRESS","C00461061","BERA, AMERISH","H0CA03078","DEM","CA",7,"west","I","Dem Hold",55,45,"10",2080971.77,NA,NA,55200,307923.79,105477.89,676328.48,3921.91,5789.05,62240.37,20610.82,NA,NA,NA,NA,4452.06
"159","PAUL GOSAR FOR CONGRESS","C00461806","GOSAR, PAUL DR.","H0AZ01259","REP","AZ",4,"west","I","GOP Hold",68.2,30.5,"37.7",573588.55,18809.36,18549,100,5000,170071.93,NA,3233.6,2851.04,7447.24,110194.63,NA,NA,1585,NA,250
"160","CHUCK FLEISCHMANN FOR CONGRESS COMMITTEE, INC.","C00461822","FLEISCHMANN, CHARLES J","H0TN03254","REP","TN",3,"south","I","GOP Hold",63.7,34.5,"29.2",594892.73,84458.6,NA,6000,600,43531.04,NA,NA,966.8,39705.95,12602.17,1497.6,77500,4621,NA,19778.4
"161","MARTHA ROBY FOR CONGRESS","C00462143","ROBY, MARTHA","H0AL02087","REP","AL",2,"south","I","GOP Hold",61.5,38.5,"23",2548440.66,205681.39,79000,NA,324481.79,152104.4,239415.27,NA,9073.08,45101.82,70677.19,NA,NA,NA,NA,NA
"162","CRAWFORD FOR CONGRESS","C00462374","CRAWFORD, ERIC ALAN RICK","H0AR01083","REP","AR",1,"south","I","GOP Hold",68.9,28.8,"40.1",1145924.54,55538.55,NA,NA,336189.39,283336.42,16600.54,NA,2337.74,64842.19,97129.53,26778,NA,NA,NA,2310.21
"163","GRAVES FOR CONGRESS","C00462556","GRAVES, JOHN THOMAS MR. JR.","H0GA09030","REP","GA",14,"south","I","GOP Hold",76.5,23.5,"53",1246234.81,NA,NA,NA,603115.36,536053.82,50478.68,NA,8010.26,71159.84,7749.42,NA,NA,NA,NA,NA
"164","GARAMENDI FOR CONGRESS","C00462697","GARAMENDI, JOHN","H0CA10149","DEM","CA",3,"west","I","Dem Hold",58.1,41.9,"16.2",964856.73,104941.58,17500,NA,7016.08,44991,2845,NA,41044.49,59273.03,2001.46,NA,NA,1282.17,NA,NA
"165","KUSTER FOR CONGRESS, INC","C00462861","KUSTER, ANN MCLANE","H0NH02181","DEM","NH",2,"northeast","I","Dem Hold",55.5,42.2,"13.3",3345429.04,1590.26,172329.68,10645.6,277594.1,287214.16,378117.16,NA,6872.53,19011.82,29996.09,NA,NA,NA,NA,1242
"166","TOM REED FOR CONGRESS","C00464032","REED, THOMAS W","H0NY29054","REP","NY",23,"northeast","I","GOP Hold",54.2,45.8,"8.4",3880533.89,197.1,21796,2500,416744.61,513059.63,517115.36,NA,32097.6,4671.75,10363.88,NA,NA,197.1,NA,NA
"167","FRIENDS OF SCOTT DESJARLAIS","C00464073","DESJARLAIS, SCOTT HON.","H0TN04195","REP","TN",4,"south","I","GOP Hold",63.4,33.6,"29.8",270831.44,1134,NA,NA,21332.31,25688.45,59954.87,NA,8962.2,3162.49,70816.71,1134,NA,NA,NA,1172.6
"168","DUFFY FOR WISCONSIN","C00464339","DUFFY, SEAN","H0WI07051","REP","WI",7,"midwest","I","GOP Hold",60.1,38.5,"21.6",3124038.66,NA,NA,190333.2,426058.65,194072.97,80609.18,NA,219053.27,3278.67,230693.02,NA,NA,NA,NA,NA
"169","VICKY HARTZLER FOR CONGRESS","C00464602","HARTZLER, VICKY","H0MO04086","REP","MO",4,"midwest","I","GOP Hold",64.8,32.7,"32.1",1428849.47,19336,NA,NA,223715.54,204404.29,73475.98,NA,NA,24532.26,500649.33,NA,NA,10136,9200,11500
"170","GIBBS FOR CONGRESS","C00466516","GIBBS, ROBERT","H0OH18077","REP","OH",7,"midwest","I","GOP Hold",58.7,41.3,"17.4",1863554.11,14965.54,46345,10500,121600,111804.02,NA,NA,3398.9,2199.32,2763.3,NA,NA,NA,NA,752.49
"171","ANDY BARR FOR CONGRESS, INC.","C00467571","BARR, GARLAND ANDY","H0KY06104","REP","KY",6,"south","I","GOP Hold",51,47.8,"3.2",5638304.37,NA,NA,253405.11,427972.39,318517.29,394300.96,NA,88159.7,300,39179.69,NA,NA,NA,NA,NA
"172","BUCSHON FOR CONGRESS","C00468256","BUCSHON, LARRY D.","H0IN08114","REP","IN",8,"midwest","I","GOP Hold",64.4,35.6,"28.8",1264125.96,212892,43000,500,276442.87,311004.72,45245.71,NA,9391.78,12046.21,55815.9,NA,197892,NA,NA,117493
"173","WALORSKI FOR CONGRESS INC","C00468579","WALORSKI SWIHART, JACKIE","H0IN02190","REP","IN",2,"midwest","I","GOP Hold",54.8,45.2,"9.6",2954090.14,2482306.22,30657.3,15000,916000.31,404644.85,5500,NA,50364.77,20291.06,34137.89,27975,979448,NA,NA,801.2
"174","TED DEUTCH FOR CONGRESS COMMITTEE","C00469163","DEUTCH, THEODORE ELIOT","H0FL19080","DEM","FL",22,"south","I","Dem Hold",62,38,"24",1545121.41,7824.06,20530,NA,350390.47,258798.68,159587.87,NA,57916.2,42400.18,6796.86,NA,NA,NA,NA,4740.48
"175","VOTETIPTON.COM","C00470757","TIPTON, SCOTT R.","H6CO03139","REP","CO",3,"west","I","GOP Hold",51.5,43.6,"7.9",1678605.31,830719.79,48983,16000,354704.04,285505.32,NA,NA,3749.31,17720.23,484287.39,NA,791226,NA,NA,43838.06
"176","DENNY HECK FOR CONGRESS","C00472159","HECK, DENNIS","H0WA03161","DEM","WA",10,"west","I","Dem Hold",61.5,38.5,"23",1216307.54,NA,27500,NA,231616.42,169181,242527.02,NA,2345.8,70359.79,2431.91,NA,NA,NA,NA,19300
"177","BILL FLORES FOR CONGRESS","C00472241","FLORES, BILL","H0TX17104","REP","TX",17,"south","I","GOP Hold",56.8,41.3,"15.5",1568825.02,61907.44,NA,3000,345013.26,312013.26,83.57,NA,50630.92,83154.7,246973.93,3448.5,NA,NA,109728.11,49479.52
"178","JAIME FOR CONGRESS","C00472704","HERRERA BEUTLER, JAIME","H0WA03187","REP","WA",3,"west","I","GOP Hold",52.7,47.3,"5.4",3150893.21,100400,61500,5000,360982.23,220642.13,119583.31,NA,7012.38,13098.75,238915.8,50400,NA,NA,26529,8108.84
"179","MCKINLEY FOR CONGRESS","C00473132","MCKINLEY, DAVID B. MR.","H0WV01072","REP","WV",1,"south","I","GOP Hold",64.6,35.4,"29.2",1475399.59,34500,NA,67000,330518.69,158437.2,NA,NA,NA,10877.93,13297.11,NA,NA,NA,NA,NA
"180","MIKE KELLY FOR CONGRESS","C00474189","KELLY, GEORGE J JR","H0PA03271","REP","PA",16,"northeast","I","GOP Hold",51.6,47.3,"4.3",3254181.56,87052.41,37243,15000,328800,365678.98,70711.67,902.44,NA,111336.51,16230.11,NA,NA,NA,6613.4,2192.5
"181","MARINO FOR CONGRESS","C00475145","MARINO, THOMAS ANTHONY","H0PA10078","REP","PA",12,"northeast","I","GOP Hold",66,34,"32",928028.85,279545,11740,NA,270665.59,71260.55,NA,NA,5303.24,12470.85,19683.72,1560,106500,NA,NA,NA
"182","JUSTIN AMASH FOR CONGRESS","C00476291","AMASH, JUSTIN","H0MI03126","REP","MI",3,"midwest","I","GOP Hold",54.4,43.2,"11.2",766276.39,NA,NA,NA,329360.2,146591.25,27575,NA,2580.9,17515.3,164583.6,NA,NA,NA,NA,2536.01
"183","KAREN BASS FOR CONGRESS","C00476523","BASS, KAREN","H0CA33117","DEM","CA",37,"west","I","Dem Hold",89.1,10.9,"78.2",1087472.07,1037.41,21000,NA,239735.88,119032.03,NA,NA,42290.69,29611.81,NA,960,NA,NA,NA,NA
"184","CICILLINE COMMITTEE","C00476564","CICILLINE, DAVID N","H0RI01073","DEM","RI",1,"northeast","I","Dem Hold",66.9,33.1,"33.8",2141274.48,80115.86,NA,2250,330774.6,365577.64,88000.65,NA,33591.1,31604.66,10790.65,5673.76,NA,NA,NA,125.8
"185","JOHNSON FOR CONGRESS","C00476820","JOHNSON, BILL","H0OH06189","REP","OH",6,"midwest","I","GOP Hold",69.3,30.7,"38.6",1889929.6,NA,34000,NA,513041.77,378915.53,214559.51,NA,46907.65,53170.45,3476.8,NA,NA,NA,NA,3249.9
"186","MORGAN GRIFFITH FOR CONGRESS","C00477240","GRIFFITH, H MORGAN","H0VA09055","REP","VA",9,"south","I","GOP Hold",65.2,34.8,"30.4",1238470.19,4925.06,10500,NA,102918.3,107973.23,128288.56,28654.13,10857.34,55427.92,23483.56,649,NA,NA,NA,676.27
"187","PALAZZO FOR CONGRESS","C00477323","PALAZZO, STEVEN MCCARTY","H0MS04120","REP","MS",4,"south","I","GOP Hold",69.6,29.3,"40.3",904935.99,46552.01,NA,30385.7,145440.9,135850.21,23334.23,NA,11120.94,81765.1,694.6,29436.1,NA,5349.75,NA,NA
"188","WOMACK FOR CONGRESS COMMITTEE","C00477745","WOMACK, STEVE","H0AR03055","REP","AR",3,"south","I","GOP Hold",64.8,32.6,"32.2",1380713.43,378887.76,NA,32123.37,207789.97,193084.03,NA,NA,13989.99,7178.04,67247.63,148579.25,8058.74,NA,NA,NA
"189","WOMACK FOR CONGRESS COMMITTEE","C00477745","WOMACK, STEVE","H0AR03055","REP","AR",3,"south","I","GOP Hold",66.8,31.3,"35.5",1380713.43,378887.76,NA,32123.37,207789.97,193084.03,NA,NA,13989.99,7178.04,67247.63,148579.25,8058.74,NA,NA,NA
"190","THE BILL KEATING COMMITTEE","C00479063","KEATING, WILLIAM RICHARD","H0MA10082","DEM","MA",9,"northeast","I","Dem Hold",59.5,40.5,"19",666546.34,3749.01,NA,NA,340271.33,146254.74,51202.68,1631.74,1688.87,12544.43,5171.03,NA,NA,NA,NA,1355.07
"191","DANIEL WEBSTER FOR CONGRESS","C00481911","WEBSTER, DANIEL","H0FL08208","REP","FL",11,"south","I","GOP Hold",65.2,34.8,"30.4",552157.27,7899,NA,NA,120411.21,123388.38,39746.84,NA,NA,8700.97,79472.81,NA,NA,NA,NA,478.8
