"","committee_name","committee_id","candidate_name","candidate_id","party","state","district","region","incumbent_challenge","hold_flip","win_per","lose_per","delta","total","advertise","poll","research","consulting","fundraise","pay","materials","travel","event","mail","radio","television","newspaper","smedia","website","per_advertise","per_poll","per_research","per_consulting","per_fundraise","per_pay","per_materials","per_travel","per_event","per_mail","per_radio","per_television","per_newspaper","per_smedia","per_website"
"112","VERN BUCHANAN FOR CONGRESS","C00412759","BUCHANAN, VERNON","H6FL13148","REP","FL",16,"south","I","GOP Hold",54.6,45.4,"9.2",4438324.84,69129.82,155431.34,31559.4,327355.5,128331.33,220263.57,1315.52,4927.06,76467.09,2979.92,NA,NA,12355,NA,4453.99,0.0155756557917919,0.0350202712967715,0.00711065574010577,0.0737565436963375,0.0289143617527554,0.0496276360880336,0.000296400116580922,0.00111011703235313,0.0172288177987441,0.000671406466949814,NA,NA,0.00278370791805315,NA,0.00100352952083606
"113","ADRIAN SMITH FOR CONGRESS","C00412890","SMITH, ADRIAN","H6NE03115","REP","NE",3,"midwest","I","GOP Hold",76.7,23.3,"53.4",1738342.49,286635.1,25000,NA,102258,203536.35,49139.33,1349.63,9498.35,3330.65,106695.26,NA,NA,NA,NA,NA,0.164889888873395,0.0143815158081996,NA,0.0588250017405949,0.11708644940273,0.0282679220479734,0.000776389007208815,0.00546402682707249,0.0019159918250632,0.0613775827339985,NA,NA,NA,NA,NA
"114","WELCH FOR CONGRESS","C00413179","WELCH, PETER","H6VT00160","DEM","VT",0,"northeast","I","Dem Hold",69.2,26,"43.2",840824.04,NA,3389.89,NA,96226,84000,169385.25,NA,NA,10575.06,4800.11,NA,NA,NA,NA,16150,NA,0.00403162830596518,NA,0.114442493818326,0.0999019961417849,0.201451483237801,NA,NA,0.0125770190871327,0.00570881631785885,NA,NA,NA,NA,0.019207348067736
"115","LOEBSACK FOR CONGRESS","C00414318","LOEBSACK, DAVID WAYNE","H6IA02146","DEM","IA",2,"midwest","I","Dem Hold",54.8,42.6,"12.2",2351631.56,34090,3500,38600,152000,96863.63,187797.25,NA,5301.42,24076.45,28412.92,NA,NA,NA,NA,1400,0.014496318462404,0.00148832838423039,0.0164141358946552,0.06463597554372,0.0411899685510259,0.0798582793301175,NA,0.00225435824649334,0.0102381896932868,0.0120822158042478,NA,NA,NA,NA,0.000595331353692157
"116","FRIENDS OF JOHN SARBANES","C00415182","SARBANES, JOHN P. MR.","H6MD03292","DEM","MD",3,"south","I","Dem Hold",69.2,28.3,"40.9",791730.6,NA,NA,NA,50439.74,1589.75,104966.4,NA,7172.21,11740.67,3278.98,NA,NA,NA,NA,1619.41,NA,NA,NA,0.0637082108484881,0.00200794310589991,0.132578430087204,NA,0.00905890210634779,0.0148291224312917,0.00414153501203566,NA,NA,NA,NA,0.00204540534368635
"117","CLARKE FOR CONGRESS","C00415331","CLARKE, YVETTE","H4NY11138","DEM","NY",9,"northeast","I","Dem Hold",89.3,10.3,"79",1106735.55,3510,1971.2,NA,332805.37,264703.42,NA,NA,13924.76,28749.32,42042.07,NA,NA,NA,NA,NA,0.00317148934088184,0.00178109395690777,NA,0.300709026650495,0.239174950149564,NA,NA,0.0125818313146262,0.0259766843127069,0.0379874577987488,NA,NA,NA,NA,NA
"118","JIM JORDAN FOR CONGRESS","C00416594","JORDAN, JAMES D.","H6OH04082","REP","OH",4,"midwest","I","GOP Hold",65.3,34.7,"30.6",1922809.56,1368287.67,NA,NA,464647.67,192905.51,27855.31,NA,8254.48,17010.06,188.63,NA,684812.67,NA,NA,2440,0.71160852247895,NA,NA,0.241650384763013,0.100324813238395,0.0144867752789829,NA,0.0042929264404115,0.00884646111287277,9.81012388975224e-05,NA,0.356152103799609,NA,NA,0.00126897642426949
"119","COMMITTEE TO RE-ELECT HENRY HANK JOHNSON","C00418293","JOHNSON, HENRY C. 'HANK","H6GA04129","DEM","GA",4,"south","I","Dem Hold",78.8,21.2,"57.6",488053.08,10966.99,NA,NA,151295.49,126092.57,NA,NA,NA,64383.2,66.7,NA,NA,NA,NA,4150.74,0.022470895993526,NA,NA,0.309998023165841,0.25835831217375,NA,NA,NA,0.131918438051861,0.000136665462699262,NA,NA,NA,NA,0.00850468969481762
"120","YARMUTH FOR CONGRESS","C00419630","YARMUTH, JOHN","H6KY03124","DEM","KY",3,"south","I","Dem Hold",62.1,36.6,"25.5",1160806.92,23939.43,38987.53,NA,182390.24,181834.67,113881.53,5884.91,175.53,32771.13,4853.07,NA,NA,NA,NA,NA,0.0206230938044373,0.0335865761379162,NA,0.157123667043611,0.15664506031718,0.0981054885510159,0.00506967170733269,0.000151213778084645,0.0282313358366265,0.00418077280242265,NA,NA,NA,NA,NA
"121","LAMBORN FOR CONGRESS","C00420745","LAMBORN, DOUGLAS","H6CO05159","REP","CO",5,"west","I","GOP Hold",57,39.3,"17.7",825649.45,NA,28900,NA,103949.46,71825.36,NA,NA,23432.92,10692.61,71964.59,NA,NA,NA,NA,NA,NA,0.0350027484424534,NA,0.125900235263283,0.086992560825905,NA,NA,0.0283811973713541,0.0129505445682789,0.0871611917139895,NA,NA,NA,NA,NA
"122","KEVIN MCCARTHY FOR CONGRESS","C00420935","MCCARTHY, KEVIN","H6CA22125","REP","CA",23,"west","I","GOP Hold",63.7,36.3,"27.4",10143325.47,960315.87,165500,NA,939252.4,409074,534238.29,NA,214503,25673.12,34931.83,NA,NA,NA,NA,NA,0.0946746580143011,0.0163161480413386,NA,0.0925980737557857,0.0403293773043053,0.052668948815659,NA,0.0211472066665332,0.00253103581029033,0.00344382422740104,NA,NA,NA,NA,NA
"123","STEVE COHEN FOR CONGRESS","C00422980","COHEN, STEPHEN IRA","H6TN09068","DEM","TN",9,"south","I","Dem Hold",80,19.2,"60.8",474605.73,107597,NA,NA,56000,106666.12,400,10422.78,NA,8206.91,33943.82,35399,35399,400,NA,NA,0.226708177332794,NA,NA,0.117992675731075,0.224746801940213,0.000842804826650534,0.0219609232277916,NA,0.0172920583997163,0.0715200383273923,0.0745861201465056,0.0745861201465056,0.000842804826650534,NA,NA
"124","FRIENDS FOR GREGORY MEEKS","C00430991","MEEKS, GREGORY W.","H8NY06048","DEM","NY",5,"northeast","I","Dem Hold",100,0,"100",1337463.97,65250,NA,NA,324844.9,253872.34,NA,NA,59924.27,30810.78,904.3,NA,NA,NA,NA,NA,0.0487863609514655,NA,NA,0.242881234400655,0.189816208656447,NA,NA,0.0448043994785145,0.023036717766685,0.000676130363347283,NA,NA,NA,NA,NA
"125","PINGREE FOR CONGRESS","C00433391","PINGREE, CHELLIE M","H8ME01120","DEM","ME",1,"northeast","I","Dem Hold",58.8,32.4,"26.4",1083749.23,36937.98,NA,71305.23,139620.15,77334.65,42457.75,NA,1023.14,1683.9,28949.45,NA,NA,NA,NA,17262.5,0.0340835121054711,NA,0.0657949533214432,0.128830679768972,0.0713584359363282,0.0391767291036507,NA,0.000944074488523512,0.00155377273024683,0.026712314250041,NA,NA,NA,NA,0.0159285003598111
"126","DUNCAN D. HUNTER FOR CONGRESS","C00433524","HUNTER, DUNCAN D","H8CA52052","REP","CA",50,"west","I","GOP Hold",51.7,48.3,"3.4",1982845.45,111550.55,NA,37000,550989.4,185994.98,NA,NA,27299.5,22470.02,131654.28,NA,47776.5,NA,NA,NA,0.0562578137393411,NA,0.0186600524009574,0.277878137199246,0.0938020560301359,NA,NA,0.0137678405545929,0.0113322094770422,0.0663966422597384,NA,0.0240949187441714,NA,NA,NA
"127","HIMES FOR CONGRESS","C00434191","HIMES, JIM","H8CT04172","DEM","CT",4,"northeast","I","Dem Hold",60.9,39.1,"21.8",1928548.67,20350,NA,37500,332498.54,138000,152935.01,30754.62,5858.99,88206.38,2549.35,NA,NA,NA,NA,232.24,0.0105519763729893,NA,0.019444673906,0.172408684920563,0.07155639997408,0.0793005706202893,0.0159470281867452,0.00303803066582706,0.0457371812140992,0.00132190078459363,NA,NA,NA,NA,0.000120422161811452
"128","BILL FOSTER FOR CONGRESS","C00435099","FOSTER, G. WILLIAM (BILL)","H8IL14067","DEM","IL",11,"midwest","I","Dem Hold",63.8,36.2,"27.6",1757775.06,2050,31500,NA,171664.83,309859.6,392520.4,NA,2948.82,7908.74,26014,NA,NA,NA,NA,2740,0.00116624706235165,0.0179203816897937,NA,0.0976602944861443,0.176279438166565,0.223305250445413,NA,0.00167758666458722,0.00449929014239171,0.0147993907707395,NA,NA,NA,NA,0.00155878875650904
"129","ANDY HARRIS FOR CONGRESS","C00435974","HARRIS, ANDREW P","H8MD01094","REP","MD",1,"south","I","GOP Hold",60,38.1,"21.9",2080014.67,22943.48,47274,450,239314.87,180712.53,NA,NA,8542.49,54652.98,407572.85,NA,NA,NA,NA,NA,0.0110304414343385,0.0227277243193674,0.000216344627992455,0.115054414496029,0.0868804112809454,NA,NA,0.00410693738039838,0.0262752858372869,0.195947103584611,NA,NA,NA,NA,NA
"130","OLSON FOR CONGRESS COMMITTEE","C00437913","OLSON, PETER G.","H8TX22107","REP","TX",22,"south","I","GOP Hold",51.4,46.5,"4.9",2146751.64,28186.9,NA,13500,752193.07,273906.42,3903.59,207.83,12887.42,70720.89,293417.31,NA,NA,NA,114190.87,28606.54,0.0131300237413584,NA,0.00628857094992134,0.350386628795122,0.1275911078377,0.00181837056847433,9.68113852238632e-05,0.00600321889121743,0.0329432099560432,0.136679671990375,NA,NA,NA,0.0531923990983885,0.0133255004756861
"131","LATTA FOR CONGRESS","C00438697","LATTA, ROBERT EDWARD","H8OH05036","REP","OH",5,"midwest","I","GOP Hold",62.3,35.1,"27.2",1812502.5,6141,26139,NA,424955.75,407591.75,49522.99,NA,755.52,5480,129251.52,2530.5,NA,1080,NA,360,0.00338813325774723,0.0144214973496588,NA,0.234458021437212,0.224877896720142,0.0273229912786327,NA,0.000416838045740627,0.00302344410559434,0.0713110850881585,0.00139613600532965,NA,0.000595861247087935,NA,0.000198620415695978
"132","DAVID SCHWEIKERT FOR CONGRESS","C00440727","SCHWEIKERT, DAVID S.","H4AZ06045","REP","AZ",6,"west","I","GOP Hold",55.2,44.8,"10.4",132918.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","ROB WITTMAN FOR CONGRESS","C00441014","WITTMAN, ROBERT J MR.","H8VA01147","REP","VA",1,"south","I","GOP Hold",55.2,44.8,"10.4",2195531.86,691876.66,44250,34768.16,410781.27,240118.57,436900.98,NA,7124.92,55247.48,80624.2,1646,259269.81,24217.46,NA,1403.82,0.31512941014666,0.0201545697451186,0.0158358713136597,0.187098751552619,0.109366925788998,0.198995508997077,NA,0.00324519089420092,0.0251635974893118,0.036721944904958,0.000749704447468141,0.118089750699405,0.0110303386806694,NA,0.000639398601120733
"134","STIVERS FOR CONGRESS","C00441352","STIVERS, STEVE MR.","H8OH15076","REP","OH",15,"midwest","I","GOP Hold",58.3,39.7,"18.6",6035248.65,260749.24,184987,7500,292235.03,269622.9,1439167.37,874.04,1592.72,62134.18,7140,NA,NA,NA,NA,1445,0.0432043905929211,0.0306510983602971,0.00124269942051186,0.0484213736579022,0.0446746962115637,0.238460327562477,0.000144822533533892,0.00026390296280502,0.0102952145973306,0.00118304984832729,NA,NA,NA,NA,0.000239426755018619
"135","ANDRE CARSON FOR CONGRESS","C00442921","CARSON, ANDRE","H8IN07184","DEM","IN",7,"midwest","I","Dem Hold",64.9,35.1,"29.8",1133547.21,8093.66,16125,NA,115250,111818,209818.01,NA,52541.73,39175.41,3285.2,4999.5,NA,2736.9,NA,2838.56,0.00714011726075352,0.0142252566613436,NA,0.101671989470999,0.098644325541589,0.185098607406038,NA,0.0463516027709159,0.0345600162519918,0.00289815895713774,0.00441049120486124,NA,0.00241445612132908,NA,0.00250413919681387
"136","JACKIE SPEIER FOR CONGRESS","C00443705","SPEIER, JACKIE","H8CA12171","DEM","CA",14,"west","I","Dem Hold",79.2,20.8,"58.4",1163419.9,1880.86,NA,NA,34500,103677.91,NA,NA,3875.8,54656.59,5532.07,NA,NA,NA,NA,2879.36,0.00161666480004339,NA,NA,0.029653953830427,0.0891147813442077,NA,NA,0.00333138534075272,0.0469792462721327,0.0047550071990345,NA,NA,NA,NA,0.0024749103913385
"137","CITIZENS TO ELECT PHIL ROE TO CONGRESS","C00444471","ROE, DAVID PHILLIP DR.","H6TN01388","REP","TN",1,"south","I","GOP Hold",77.1,21,"56.1",609014.52,249751.08,26000,NA,104382.31,84146.12,48154.86,NA,NA,1722.34,48285.13,16381.2,103541.7,14005.28,13579.24,NA,0.41009051803888,0.0426919213683115,NA,0.171395437337028,0.13816767455725,0.0790701344854635,NA,NA,0.00282807707113453,0.0792840374314885,0.0268978808584071,0.170015158259281,0.0229966274038918,0.0222970710123627,NA
"138","FRIENDS OF GLENN THOMPSON","C00444620","THOMPSON, GLENN","H8PA05071","REP","PA",15,"northeast","I","GOP Hold",67.8,32.2,"35.6",1433599.45,494822.32,15966,15966,NA,153175.34,424799.78,NA,42713.42,162570.15,14214.47,NA,NA,NA,32030.26,NA,0.345160790902926,0.011137002040563,0.011137002040563,NA,0.106846678826502,0.296316924507749,NA,0.0297945287297648,0.113399980726834,0.0099152312035276,NA,NA,NA,0.0223425448440288,NA
"139","FRIENDS OF BILL POSEY","C00444968","POSEY, BILL","H8FL15107","REP","FL",8,"south","I","GOP Hold",60.5,39.5,"21",1186703.13,13513,NA,24650,73570.67,57114.1,104180.13,NA,NA,17686.02,266233.92,NA,NA,NA,NA,NA,0.0113870096559027,NA,0.0207718336430106,0.0619958506387356,0.0481283806843924,0.0877895468262564,NA,NA,0.0149034914907488,0.22434753332116,NA,NA,NA,NA,NA
"140","GUTHRIE FOR CONGRESS","C00445023","GUTHRIE, S. BRETT HON.","H8KY02031","REP","KY",2,"south","I","GOP Hold",66.7,31.1,"35.6",1759700.65,92956.42,NA,NA,628631.78,440528.12,NA,NA,378.21,475855.15,30882.28,51480.58,NA,32475.84,433.34,NA,0.05282513250194,NA,NA,0.357237908618151,0.25034264776796,NA,NA,0.000214928601634602,0.27041823846573,0.0175497349506577,0.0292553054407294,NA,0.0184553207956137,0.000246257793903753,NA
"141","CONNOLLY FOR CONGRESS","C00445452","CONNOLLY, GERALD EDWARD","H8VA11062","DEM","VA",11,"south","I","Dem Hold",71.2,27,"44.2",2019864.54,309185.03,36109.76,NA,102000,94875.17,235488.17,3067.42,NA,178505.64,48050.07,NA,249500,900,NA,4000,0.153072160967785,0.0178773176541829,NA,0.0504984359000629,0.0469710557916918,0.116586120176158,0.00151862659067226,NA,0.0883750550915657,0.0237887586263582,NA,0.123523134873193,0.00044557443441232,NA,0.00198033081961031
"142","MCCLINTOCK FOR CONGRESS","C00446815","MCCLINTOCK, THOMAS","H8CA04152","REP","CA",4,"west","I","GOP Hold",54.1,45.9,"8.2",1805607.44,328521.69,68565,550,52445.66,58142.58,213086.6,NA,3317.74,25377.36,11460.56,NA,NA,NA,NA,886.8,0.181945246082947,0.0379733703356916,0.000304606631439224,0.0290459924112851,0.0322011189763374,0.118013802601522,NA,0.00183746473707485,0.0140547493534918,0.00634720468364929,NA,NA,NA,NA,0.000491136655927825
"143","KURT SCHRADER FOR CONGRESS","C00446906","SCHRADER, KURT","H8OR05107","DEM","OR",5,"west","I","Dem Hold",55.1,41.9,"13.2",970256.81,50000,NA,NA,94350,148362.4,162779.49,NA,NA,117969.74,55425.79,NA,NA,NA,NA,NA,0.051532748324642,NA,NA,0.0972422960885995,0.152910444400797,0.167769489811672,NA,NA,0.121586098426869,0.0571248657352892,NA,NA,NA,NA,NA
"144","PAUL TONKO FOR CONGRESS","C00450049","TONKO, PAUL DAVID","H8NY21203","DEM","NY",20,"northeast","I","Dem Hold",66.5,33.5,"33",1235354.68,170,25000,NA,182050,133750,100484.09,NA,20426.25,44372.36,32840.19,NA,NA,NA,NA,2500,0.00013761230094664,0.0202371030803882,NA,0.147366584631387,0.108268501480077,0.0813402754907603,NA,0.0165347250718312,0.0359187209296038,0.0265836124083814,NA,NA,NA,NA,0.00202371030803882
"145","RICHMOND FOR CONGRESS","C00451336","RICHMOND, CEDRIC L.","H8LA02054","DEM","LA",2,"south","I","Dem Hold",80.6,0,"80.6",2001744.7,41158,8721.98,NA,84729,155844.06,20402.66,NA,106640.95,43074.05,951.67,20170,1900,NA,1500,720,0.0205610635562067,0.00435718900617047,NA,0.0423275755394781,0.0778541139636838,0.0101924386261645,NA,0.053274001424857,0.0215182535515143,0.000475420267129969,0.0100762100181906,0.000949171989814685,NA,0.000749346307748436,0.000359686227719249
"146","MARCIA FUDGE FOR CONGRESS","C00454694","FUDGE, MARCIA L.","H8OH11141","DEM","OH",11,"midwest","I","Dem Hold",82.2,17.8,"64.4",718608.3,250,NA,NA,84000,160652.05,35599.18,414.59,3677.18,3206,19370.81,NA,NA,NA,NA,2000,0.000347894673635136,NA,NA,0.116892610341406,0.223559970014262,0.0495390604311139,0.000576934610969564,0.0051170853439906,0.00446140129469699,0.0269560064919929,NA,NA,NA,NA,0.00278315738908109
"147","QUIGLEY FOR CONGRESS","C00457556","QUIGLEY, MIKE","H0IL05096","DEM","IL",5,"midwest","I","Dem Hold",76.7,23.3,"53.4",1242740.7,308381.8,27000,NA,414377.75,429850,NA,NA,1382.12,79196.38,126281.98,NA,302923,NA,NA,41.34,0.248146536119723,0.0217261734487331,NA,0.333438624807251,0.345888728034738,NA,NA,0.00111215477210974,0.0637271958663621,0.101615711145535,NA,0.243753986652244,NA,NA,3.32651855692825e-05
"148","JUDY CHU FOR CONGRESS","C00458125","CHU, JUDY","H0CA32101","DEM","CA",27,"west","I","Dem Hold",79.2,20.8,"58.4",1054816.93,NA,NA,NA,NA,153350,NA,NA,NA,7199.34,39288.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14538067757407,NA,NA,NA,0.00682520330802806,0.0372467950433826,NA,NA,NA,NA,NA
"149","BLAINE FOR CONGRESS","C00458679","LUETKEMEYER, W BLAINE","H8MO09153","REP","MO",3,"midwest","I","GOP Hold",65.1,32.8,"32.3",2377118.01,NA,NA,NA,314775.14,223705.98,NA,NA,32472.07,237589.11,1140.6,NA,NA,NA,NA,NA,NA,NA,NA,0.132418810793495,0.0941080665995207,NA,NA,0.0136602683852452,0.0999483866600296,0.000479824726917954,NA,NA,NA,NA,NA
"150","KINZINGER FOR CONGRESS","C00458877","KINZINGER, ADAM","H0IL11052","REP","IL",16,"midwest","I","GOP Hold",59.1,40.9,"18.2",2505787.82,15312.03,159478.11,10000,435827.78,312764.73,51750.8,NA,10574.47,221160.12,21154.9,NA,NA,NA,NA,2497.95,0.00611066502829438,0.0636439002245609,0.00399076087775062,0.17392844538609,0.124816924842423,0.0206525068032297,NA,0.00422001811789475,0.0882597154614631,0.00844241472927265,NA,NA,NA,NA,0.000996872113457715
"151","TERRI SEWELL FOR CONGRESS","C00458976","SEWELL, TERRI A.","H0AL07086","DEM","AL",7,"south","I","Dem Hold",97.8,NA,"97.8",1459850.35,391.64,32350,NA,88500,274111.89,119750.57,517.17,114033.29,82026.5,1983.04,NA,391.64,NA,7500,13755.05,0.000268274073434993,0.0221598056266521,NA,0.0606226521780126,0.187767115992403,0.0820293463641667,0.000354262339287037,0.0781129997331576,0.0561882935466639,0.00135838580988798,NA,0.000268274073434993,NA,0.00513751289644175,0.00942223290216014
"152","DELBENE FOR CONGRESS","C00459099","DELBENE, SUZAN K","H0WA08046","DEM","WA",1,"west","I","Dem Hold",59.3,40.7,"18.6",1555155.84,266792.3,31750,NA,402486.04,306365,52390.37,NA,5975,140028.98,10376.39,NA,74970,NA,NA,NA,0.171553418080596,0.0204159603708912,NA,0.258807528896911,0.196999549575688,0.0336881800861835,NA,0.00384205868397086,0.0900417671324824,0.00667225093017044,NA,0.0482073873702587,NA,NA,NA
"153","HUIZENGA FOR CONGRESS","C00459297","HUIZENGA, WILLIAM P","H0MI02094","REP","MI",2,"midwest","I","GOP Hold",55.3,43,"12.3",2369185.38,62121.72,48915.75,10143.82,628659.54,287266.84,4260.6,NA,50871.47,210473.19,137938.15,NA,NA,702,NA,NA,0.0262207088243977,0.0206466536611837,0.00428156449285535,0.265348395827092,0.121251313816566,0.00179833964702247,NA,0.0214721357093635,0.0888377886242064,0.0582217631277127,NA,NA,0.000296304377836402,NA,NA
"154","FREDERICA S. WILSON FOR CONGRESS","C00460055","WILSON, FREDERICA S.","H0FL17068","DEM","FL",24,"south","I","Dem Hold",100,0,"100",337721.64,NA,NA,NA,NA,92813.94,NA,NA,445.96,12871.88,NA,NA,NA,NA,NA,600,NA,NA,NA,NA,0.274823786832256,NA,NA,0.00132049577871291,0.0381138738992266,NA,NA,NA,NA,NA,0.00177661105755616
"155","BILLY LONG FOR CONGRESS","C00460063","LONG, BILLY MR.","H0MO07113","REP","MO",7,"midwest","I","GOP Hold",66.2,30.1,"36.1",1599518.14,9965.86,NA,NA,223823.13,375070.38,235023.8,1889.36,NA,164247.21,16293.7,339.06,NA,NA,7576.8,728,0.00623053890467288,NA,NA,0.139931598400003,0.234489606976261,0.146934126048736,0.00118120573487213,NA,0.102685431251189,0.0101866303310571,0.000211976339324292,NA,NA,0.00473692658465255,0.00045513707021791
"156","AL LAWSON FOR CONGRESS","C00460261","LAWSON, ALFRED JR","H0FL02086","DEM","FL",5,"south","I","Dem Hold",66.8,33.2,"33.6",787928.84,107945.38,NA,NA,199624.51,128819.7,NA,NA,13704.9,3671.18,8250.28,40500,400,NA,NA,NA,0.136998894468693,NA,NA,0.253353475422984,0.163491540682786,NA,NA,0.0173935757954995,0.00465927862216593,0.0104708440422107,0.0514005807935651,0.000507660057220396,NA,NA,NA
"157","JEFF DUNCAN FOR CONGRESS","C00460550","DUNCAN, JEFFREY D MR.","H0SC03077","REP","SC",3,"south","I","GOP Hold",67.8,31,"36.8",715794.21,33803.44,NA,NA,226963.25,181531.95,NA,NA,31996.28,51423.06,27426.43,5901,NA,NA,NA,NA,0.0472250816334488,NA,NA,0.317078912946222,0.253609134390735,NA,NA,0.0447003895155844,0.071840564343207,0.0383160824952747,0.0082439895678955,NA,NA,NA,NA
"158","BERA FOR CONGRESS","C00461061","BERA, AMERISH","H0CA03078","DEM","CA",7,"west","I","Dem Hold",55,45,"10",2080971.77,NA,NA,55200,307923.79,105477.89,676328.48,3921.91,5789.05,62240.37,20610.82,NA,NA,NA,NA,4452.06,NA,NA,0.0265260686357124,0.147971151958491,0.0506868432914878,0.325006081173316,0.00188465314933129,0.00278189742093426,0.0299092812777561,0.0099044207601144,NA,NA,NA,NA,0.00213941393352011
"159","PAUL GOSAR FOR CONGRESS","C00461806","GOSAR, PAUL DR.","H0AZ01259","REP","AZ",4,"west","I","GOP Hold",68.2,30.5,"37.7",573588.55,18809.36,18549,100,5000,170071.93,NA,3233.6,2851.04,7447.24,110194.63,NA,NA,1585,NA,250,0.0327924258599653,0.0323385116386999,0.000174340997566984,0.00871704987834921,0.296505099343423,NA,0.005637490497326,0.00497053157703375,0.0129835925072075,0.192114417207247,NA,NA,0.0027633048114367,NA,0.000435852493917461
"160","CHUCK FLEISCHMANN FOR CONGRESS COMMITTEE, INC.","C00461822","FLEISCHMANN, CHARLES J","H0TN03254","REP","TN",3,"south","I","GOP Hold",63.7,34.5,"29.2",594892.73,84458.6,NA,6000,600,43531.04,NA,NA,966.8,39705.95,12602.17,1497.6,77500,4621,NA,19778.4,0.141972822562481,NA,0.0100858519484681,0.00100858519484681,0.0731746041004737,NA,NA,0.00162516694396316,0.0667447221955461,0.0211839368082377,0.00251742864633763,0.130275587667713,0.00776778697564517,NA,0.0332470023629302
"161","MARTHA ROBY FOR CONGRESS","C00462143","ROBY, MARTHA","H0AL02087","REP","AL",2,"south","I","GOP Hold",61.5,38.5,"23",2548440.66,205681.39,79000,NA,324481.79,152104.4,239415.27,NA,9073.08,45101.82,70677.19,NA,NA,NA,NA,NA,0.0807087224860084,0.0309993484407834,NA,0.127325621150622,0.0596852822148898,0.0939457895794207,NA,0.00356024770064687,0.0176978105505505,0.0277335042990563,NA,NA,NA,NA,NA
"162","CRAWFORD FOR CONGRESS","C00462374","CRAWFORD, ERIC ALAN RICK","H0AR01083","REP","AR",1,"south","I","GOP Hold",68.9,28.8,"40.1",1145924.54,55538.55,NA,NA,336189.39,283336.42,16600.54,NA,2337.74,64842.19,97129.53,26778,NA,NA,NA,2310.21,0.0484661494377282,NA,NA,0.293378296968839,0.247255739893658,0.0144865908884367,NA,0.00204004706976604,0.0565850435492026,0.0847608429783692,0.0233680308478253,NA,NA,NA,0.00201602280024477
"163","GRAVES FOR CONGRESS","C00462556","GRAVES, JOHN THOMAS MR. JR.","H0GA09030","REP","GA",14,"south","I","GOP Hold",76.5,23.5,"53",1246234.81,NA,NA,NA,603115.36,536053.82,50478.68,NA,8010.26,71159.84,7749.42,NA,NA,NA,NA,NA,NA,NA,NA,0.483950019017684,0.430138699142901,0.0405049510693735,NA,0.00642756881425901,0.0570998654739872,0.00621826636346324,NA,NA,NA,NA,NA
"164","GARAMENDI FOR CONGRESS","C00462697","GARAMENDI, JOHN","H0CA10149","DEM","CA",3,"west","I","Dem Hold",58.1,41.9,"16.2",964856.73,104941.58,17500,NA,7016.08,44991,2845,NA,41044.49,59273.03,2001.46,NA,NA,1282.17,NA,NA,0.108763899071316,0.0181374078201227,NA,0.00727162881477751,0.0466297208705794,0.00294862429989994,NA,0.0425394659370827,0.0614319495911066,0.00207435978603787,NA,NA,0.00132887086769867,NA,NA
"165","KUSTER FOR CONGRESS, INC","C00462861","KUSTER, ANN MCLANE","H0NH02181","DEM","NH",2,"northeast","I","Dem Hold",55.5,42.2,"13.3",3345429.04,1590.26,172329.68,10645.6,277594.1,287214.16,378117.16,NA,6872.53,19011.82,29996.09,NA,NA,NA,NA,1242,0.00047535308057229,0.0515119818533051,0.00318213295595712,0.0829771298930316,0.0858527132292724,0.113025012779826,NA,0.00205430452053468,0.0056829243043816,0.00896629091257007,NA,NA,NA,NA,0.000371252830399296
"166","TOM REED FOR CONGRESS","C00464032","REED, THOMAS W","H0NY29054","REP","NY",23,"northeast","I","GOP Hold",54.2,45.8,"8.4",3880533.89,197.1,21796,2500,416744.61,513059.63,517115.36,NA,32097.6,4671.75,10363.88,NA,NA,197.1,NA,NA,5.07919800695259e-05,0.0056167529051009,0.000644241248979274,0.107393627220712,0.132213670732818,0.133258818157107,NA,0.00827143916529485,0.00120389362196757,0.00267073559818853,NA,NA,5.07919800695259e-05,NA,NA
"167","FRIENDS OF SCOTT DESJARLAIS","C00464073","DESJARLAIS, SCOTT HON.","H0TN04195","REP","TN",4,"south","I","GOP Hold",63.4,33.6,"29.8",270831.44,1134,NA,NA,21332.31,25688.45,59954.87,NA,8962.2,3162.49,70816.71,1134,NA,NA,NA,1172.6,0.00418710619417007,NA,NA,0.0787660029426421,0.0948503246151924,0.221373375262488,NA,0.03309143133456,0.0116769677848333,0.261478911015649,0.00418710619417007,NA,NA,NA,0.00432963026744605
"168","DUFFY FOR WISCONSIN","C00464339","DUFFY, SEAN","H0WI07051","REP","WI",7,"midwest","I","GOP Hold",60.1,38.5,"21.6",3124038.66,NA,NA,190333.2,426058.65,194072.97,80609.18,NA,219053.27,3278.67,230693.02,NA,NA,NA,NA,NA,NA,NA,0.0609253663973544,0.136380722638048,0.0621224610581484,0.0258028753075674,NA,0.0701186169059764,0.00104949725558134,0.0738444830897195,NA,NA,NA,NA,NA
